symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
H2AC16,H2A clustered histone 16,-3.901083394169863,831.9349727816551,-14.739464899011198,3.596228710375327e-49,5.173534622745945e-45,False,False,False
TMBIM1,transmembrane BAX inhibitor motif containing 1,-1.6036677208512098,2947.658702809222,-7.964498792824853,1.658948007909371e-15,1.1932813020892104e-11,False,False,False
ISG15,ISG15 ubiquitin like modifier,1.4106995170474197,4576.658170106883,7.349599293387956,1.9880192687600405e-13,9.53321506679398e-10,True,False,True
MT2A,metallothionein 2A,1.487534302632695,6936.352119645853,6.972222775721613,3.1197200738605858e-12,9.052646428736246e-09,False,False,False
ABCD3,ATP binding cassette subfamily D member 3,-1.678301281112151,2285.603951853108,-6.971027750339911,3.146338950624304e-12,9.052646428736246e-09,False,False,False
MAL2,"mal, T cell differentiation protein 2",-1.6247743518622926,2582.56581627082,-6.883231220684436,5.850994052187047e-12,1.2296276342655188e-08,False,False,False
MT1E,metallothionein 1E,1.5140168161883834,1807.5651179871584,6.880049574778833,5.983173529722389e-12,1.2296276342655188e-08,False,False,False
PRAP1,proline rich acidic protein 1,1.3942316811253486,987.8795960368384,6.804574198629668,1.0134854362256514e-11,1.822500185692777e-08,False,False,False
MT1F,metallothionein 1F,2.2248889927600968,758.5113560727616,6.768195348356993,1.3039861813003797e-11,2.0843494671319177e-08,False,False,False
MT-TE,tRNA-Glu,3.446267526322325,83.57884241228336,6.65924573468983,2.7523641720556237e-11,3.959551097919221e-08,False,False,False
PI4K2B,phosphatidylinositol 4-kinase type 2 beta,-1.798124917049927,372.73046529748433,-6.5875692330659685,4.470855281637062e-11,5.8470658256027975e-08,False,False,False
NNMT,nicotinamide N-methyltransferase,1.8216117489183656,281.8325186981075,6.514698083392236,7.28360076283412e-11,8.731823381177638e-08,False,False,False
SRP9,signal recognition particle 9,-1.2175207814679156,22100.607928691144,-6.477815881690017,9.305980889689742e-11,1.0298141621467433e-07,False,False,False
TSPYL2,TSPY like 2,1.9894732631616008,641.3861505592766,6.397632984246274,1.5780402837410392e-10,1.5134458347932393e-07,False,False,False
UBQLN2,ubiquilin 2,-1.2425581084657724,1285.5988243950176,-6.399828446592757,1.5555162506679444e-10,1.5134458347932393e-07,False,False,False
MT1X,metallothionein 1X,1.3989251880217188,1976.3697046592467,6.355193457903448,2.0816447370703278e-10,1.761561246323161e-07,False,False,False
SLC38A4,solute carrier family 38 member 4,-1.6709783032265313,355.91338477925774,-6.3617354702640165,1.9948679168604172e-10,1.761561246323161e-07,False,False,False
CRYBG1,crystallin beta-gamma domain containing 1,-1.7882024505338048,948.2882317283044,-6.155659496381026,7.47657072731332e-10,5.975441471284969e-07,False,False,False
ANGPTL3,angiopoietin like 3,-1.211718963435147,1921.2529015495447,-6.084923140661386,1.1654720618665128e-09,8.824463727374554e-07,False,False,False
IFITM3,interferon induced transmembrane protein 3,1.259981463792475,2332.939026818064,6.074639451364027,1.2426660610396412e-09,8.938496977058138e-07,True,False,True
IFI6,interferon alpha inducible protein 6,2.119222934155254,184.7545326213554,6.052733327363452,1.4240850962628456e-09,9.185239349980788e-07,True,False,True
SCARNA22,small Cajal body-specific RNA 22,2.0493358391755985,649.6411447002757,6.047784217661251,1.4685145631138474e-09,9.185239349980788e-07,False,False,False
LUM,lumican,-1.1380780994135542,1267.7358649121818,-6.011455111326794,1.8386542643972742e-09,1.0580352099047676e-06,False,False,False
R3HDM2,R3H domain containing 2,1.3621368846215096,1342.7368674346856,6.014524272573428,1.8041573431931302e-09,1.0580352099047676e-06,False,False,False
SRSF1,serine and arginine rich splicing factor 1,-1.2291465306672569,3776.635324815984,-5.960064924671707,2.5213773788565967e-09,1.3950974989319614e-06,False,False,False
ZNF124,zinc finger protein 124,-1.1772237686524347,2189.682292419414,-5.904465267305729,3.5379239533477527e-09,1.8850582960318807e-06,False,False,False
CXCL5,C-X-C motif chemokine ligand 5,1.9799200168130555,453.6040653197391,5.861292040068123,4.59279409834769e-09,2.359711996386781e-06,False,False,False
HMGB1P10,high mobility group box 1 pseudogene 10,-1.582267779969987,268.3413425446262,-5.84358376790089,5.108958886077199e-09,2.5343959494864344e-06,False,False,False
HJV,hemojuvelin BMP co-receptor,-2.542204794950775,102.47816443426638,-5.792661653299175,6.927958884836873e-09,3.3221872172421085e-06,False,False,False
AGR2,"anterior gradient 2, protein disulphide isomerase family member",1.1758505917033235,12167.154557494625,5.749986804209683,8.925041472227277e-09,4.141795052240697e-06,False,False,False
PIGW,phosphatidylinositol glycan anchor biosynthesis class W,-1.7124010880763056,1030.100494194767,-5.677807734158073,1.3643193683464988e-08,5.947605585767495e-06,False,False,False
TERB2,telomere repeat binding bouquet formation protein 2,-1.2882937029670327,439.8467703226533,-5.671937720172419,1.4119130956232189e-08,5.974053468716361e-06,False,False,False
TSC22D3,TSC22 domain family member 3,1.501234052124989,1736.5845811655004,5.629222151914171,1.8102412279781776e-08,7.038413596133531e-06,False,False,False
DCPH1,damage control phosphatase 1,-1.055943253071399,2894.7192311046238,-5.63404908439006,1.7602688451421794e-08,7.038413596133531e-06,False,False,False
VTRNA1-3,vault RNA 1-3,1.621932018456821,271.3419927470044,5.629821293137572,1.8039643388575567e-08,7.038413596133531e-06,False,False,False
