symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
LGALS2,galectin 2,-3.0599967118559346,620.1438972007894,-10.00020900070811,1.5207576104923134e-23,2.5656701646615823e-19,False,False,False
MT1X,metallothionein 1X,-3.440179924427841,543.6814667249596,-9.36668219515529,7.484834157685276e-21,6.313831853715413e-17,False,False,False
GSTA2,glutathione S-transferase alpha 2,-2.555835444660611,392.5618614311196,-9.094714841068154,9.483500234623488e-20,5.333204415277761e-16,False,False,False
MT1E,metallothionein 1E,-3.223792604941591,481.250544827888,-8.039718690695764,9.004494830713828e-16,3.7978708072243236e-12,False,False,False
MT1M,metallothionein 1M,-9.402385111676775,153.02032571776618,-7.796619997828126,6.358735431407783e-15,2.1455645092656135e-11,False,False,False
SCARNA22,small Cajal body-specific RNA 22,-3.924640882102435,123.5717059754405,-7.417079557967133,1.1973103241027192e-13,3.3666370796561617e-10,False,False,False
RPL27P4,ribosomal protein L27 pseudogene 4,-2.8769054921506045,208.90724824373265,-7.378738802494199,1.597959714631943e-13,3.8513111922222153e-10,False,False,False
MT-TY,tRNA-Tyr,-4.183417648006143,84.45734906875971,-7.278040695534615,3.3870317258261654e-13,7.142826530801655e-10,False,False,False
TFF1,trefoil factor 1,-1.511211856046845,603.9043833129392,-7.15170947965227,8.570380597261347e-13,1.6065654561821795e-09,False,False,False
FOLR1,folate receptor alpha,-6.296089707567798,63.53402070329022,-7.072506198008867,1.5216018592369461e-12,2.5670944967186517e-09,False,False,False
GSTA1,glutathione S-transferase alpha 1,-1.9721398031471944,301.9920212136644,-6.855121057973425,7.125215473712068e-12,1.0928137296090572e-08,False,False,False
CXCL6,C-X-C motif chemokine ligand 6,1.8412648106133889,630.1805577235037,6.834674788319433,8.219126857755688e-12,1.155540743476635e-08,False,False,False
TMEM45B,transmembrane protein 45B,-2.4845632332716665,156.11065002255623,-6.788738628014705,1.1311815918576388e-11,1.4680126643254016e-08,False,False,False
H1-1,"H1.1 linker histone, cluster member",-2.7121412698006035,372.7727533804019,-6.566931690434555,5.1362594018297405e-11,6.189559454876399e-08,False,False,False
MT-ATP8,ATP synthase F0 subunit 8,-1.7596626633898174,5271.863868401475,-6.449346879111482,1.1233318873727962e-10,1.1844832669916529e-07,False,False,False
PEG10,paternally expressed 10,-1.3598600502311706,1990.7731236246643,-6.417605812664113,1.3843413856121824e-10,1.3738366774507722e-07,False,False,False
ID3,inhibitor of DNA binding 3,-1.2521359526219689,12587.15590245669,-6.142215292731548,8.137845398146046e-10,7.627421650673443e-07,False,False,False
CYP2S1,cytochrome P450 family 2 subfamily S member 1,-2.7105789195274745,189.12096166570652,-6.115934933963869,9.599248896407623e-10,8.523627796383842e-07,False,False,False
MT1F,metallothionein 1F,-3.0544982745307543,156.86969978429812,-6.082221498210445,1.1852866661501958e-09,9.998485672309976e-07,False,False,False
RBP2,retinol binding protein 2,-1.7040640322904104,275.8204298564725,-5.971996221028471,2.343679613209695e-09,1.8828675597362268e-06,False,False,False
H4C3,H4 clustered histone 3,-1.235028811803104,34900.00594497181,-5.93982356274535,2.8532899415305843e-09,2.188084300161931e-06,False,False,False
RIC8A,RIC8 guanine nucleotide exchange factor A,-1.2601624622949297,713.9357651658115,-5.774120119688421,7.735623936189592e-09,5.674248322932808e-06,False,False,False
SLC7A7,solute carrier family 7 member 7,-1.5577509367774949,931.3582790713136,-5.681169340966232,1.3377694104822781e-08,9.40396155176938e-06,False,False,False
RRBP1,ribosome binding protein 1,-1.2604216322280042,5476.122710490414,-5.543367557957519,2.9670911666085404e-08,2.0023118028741075e-05,False,False,False
LGALS3,galectin 3,-1.4419660511333443,6727.42327762473,-5.426195248675532,5.756798446286678e-08,3.7354979456654815e-05,False,False,False
FUS,FUS RNA binding protein,-1.079882809742412,1082.623334500106,-5.287037572089384,1.2431311374829484e-07,7.767727933509192e-05,False,False,False
SPINT1-AS1,SPINT1 antisense RNA 1,-2.574782203091891,75.93147095346686,-5.277871862092436,1.3069279928548306e-07,7.874707916947803e-05,False,False,False
FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",1.0679216296227585,849.0113540983887,5.257251419883522,1.462243444489884e-07,8.506727293789252e-05,False,False,False
MYBPH,myosin binding protein H,-7.038252292404275,34.147548666311565,-5.232057583481911,1.6763350850063273e-07,9.427149739713916e-05,False,False,False
CXCL1,C-X-C motif chemokine ligand 1,1.4283296223215387,1308.4193920254506,5.213488258758761,1.85322265287484e-07,0.0001008571592795,False,False,False
PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A,-1.4170493764075809,442.86538524791865,-5.194166363267016,2.05639193612201e-07,0.0001084168386072,False,False,False
VTRNA1-3,vault RNA 1-3,-2.568928254841576,67.16102285996186,-5.146661050884722,2.651638177878599e-07,0.0001355629930272,False,False,False
CDX2,caudal type homeobox 2,-1.0924699689591009,823.9417951218898,-5.129775669342222,2.900876693219882e-07,0.0001398305448323,False,False,False
ZNF114,zinc finger protein 114,-1.1849062308281944,430.60000322379466,-5.133548883423304,2.843291374783572e-07,0.0001398305448323,False,False,False
SMARCC2,SWI/SNF related BAF chromatin remodeling complex subunit C2,-1.2715088156458372,436.20626010662266,-5.113058498559558,3.169840805314397e-07,0.0001485510672957,False,False,False
NPM3,nucleophosmin/nucleoplasmin 3,-1.2916391017078528,463.8026275462837,-5.098664062455308,3.420589887089953e-07,0.0001559696540137,False,False,False
HAMP,hepcidin antimicrobial peptide,-2.3923275386066827,197.8249500756652,-5.079518582866839,3.783925125354168e-07,0.000167996317868,False,False,False
GUCY2C,guanylate cyclase 2C,-2.595154510753897,202.46822203840637,-5.01358820744496,5.342425909726284e-07,0.0002311078654435,False,False,False
ARID3A,AT-rich interaction domain 3A,-1.0519892142143614,703.6478033312776,-4.96654118260273,6.815758448607509e-07,0.0002804601482596,False,False,False
DUSP1,dual specificity phosphatase 1,1.1632896224335345,7217.8562379622035,4.968122512866105,6.760424846674634e-07,0.0002804601482596,False,False,False
RNU6-6P,"RNA, U6 small nuclear 6, pseudogene",-2.397270582654966,87.75099159830232,-4.927209047738284,8.341249807293968e-07,0.0003272679662764,False,False,False
IFIT3,interferon induced protein with tetratricopeptide repeats 3,2.132667952007424,83.14732695505904,4.928931570984753,8.268052479870379e-07,0.0003272679662764,True,False,True
ZNF181,zinc finger protein 181,1.1257121999890884,409.5271272271875,4.918398679500157,8.725506092361861e-07,0.000334563666555,False,False,False
H1-4,"H1.4 linker histone, cluster member",-2.1432032403124257,161.17693491558407,-4.8912687839874405,1.0018803805858896e-06,0.000367450519584,False,False,False
C19orf33,chromosome 19 open reading frame 33,-2.036415554341864,293.3176291489633,-4.88121585064452,1.0543376018188485e-06,0.0003784623336231,False,False,False
HMGN2P8,high mobility group nucleosomal binding domain 2 pseudogene 8,-3.9688343016298666,32.9425616570763,-4.839920217603738,1.298912632367546e-06,0.0004472235718504,False,False,False
PKDCC,"protein kinase domain containing, cytoplasmic",-1.3124683682549725,265.3439670576291,-4.830388044020747,1.3626721814928149e-06,0.0004597928474793,False,False,False
PRR15L,proline rich 15 like,-3.181693801975935,45.85001347513532,-4.805402801238231,1.544402548418126e-06,0.0005108944194972,False,False,False
CCL4,C-C motif chemokine ligand 4,5.568617270767846,24.724793603839963,4.779898238002346,1.753839437545864e-06,0.0005690197144391,False,False,False
CCDC163,CCDC163 homolog,1.4837059670400916,268.8837515619095,4.743551180848149,2.100038540096175e-06,0.0006684858530181,False,False,False
SECISBP2L,SECIS binding protein 2 like,-1.4512178660323083,351.5024878148243,-4.7148538493946734,2.418843059070454e-06,0.0007419691136286,False,False,False
PLA2G4C,phospholipase A2 group IVC,2.080747038552807,109.87238972393205,4.682184276272569,2.8383414614736205e-06,0.0008551010499378,False,False,False
VNN3P,"vanin 3, pseudogene",2.497732057038498,70.64003301049115,4.648582498551384,3.342239419296972e-06,0.0009892442323326,False,False,False
CCRL2,C-C motif chemokine receptor like 2,-1.9954553137836168,139.8734735053211,-4.5958512216196095,4.3098615088452005e-06,0.0012536495433746,False,False,False
RNASE1,"ribonuclease A family member 1, pancreatic",-3.1584322225560117,42.65207842241092,-4.544912466075894,5.495808836206342e-06,0.001571521879248,False,False,False
ALPI,"alkaline phosphatase, intestinal",-3.582335314242289,54.30970029221952,-4.529136405942448,5.922525624152041e-06,0.001638015242706,False,False,False
GPX2,glutathione peroxidase 2,-1.5648369229481778,395.2677514078448,-4.493130185764483,7.018384937777735e-06,0.0019097931013749,False,False,False
H1-5,"H1.5 linker histone, cluster member",-1.800338420039482,144.46679631450334,-4.483986870978018,7.326117178557645e-06,0.001961887665388,False,False,False
TMEM141,transmembrane protein 141,-1.0516947147328617,1406.0488835185895,-4.465269299430172,7.996810077817595e-06,0.0021080341066071,False,False,False
,,1.3085172416662327,194.20683301299204,4.459064895847042,8.231799670989763e-06,0.0021365952653733,False,False,False
UBE2C,ubiquitin conjugating enzyme E2 C,-1.0566164958130917,5516.277719842582,-4.42590794174058,9.603747700757689e-06,0.0024549216281739,False,False,False
CD200R1,CD200 receptor 1,2.096544742547044,122.72675269231368,4.41954658392269,9.890820008551275e-06,0.0024905675278249,False,False,False
LINC02754,long intergenic non-protein coding RNA 2754,-2.2272074434255145,57.18734011689862,-4.413794712513267,1.0157428210957788e-05,0.0025200878139274,False,False,False
MGLL,monoglyceride lipase,-1.1033441441105545,5922.402205599252,-4.40211245984424,1.0720196185317372e-05,0.0026211656498911,False,False,False
POLR2L,"RNA polymerase II, I and III subunit L",-1.0495270888072703,7058.114683326714,-4.376237589244539,1.2074539813432418e-05,0.0028292994610058,False,False,False
SIRT1,sirtuin 1,1.5465107358415973,175.62153516393982,4.345406696227486,1.39017853997208e-05,0.0031694192091714,False,False,False
MT2A,metallothionein 2A,-2.863963594510265,1814.6657042158145,-4.34182867712422,1.4130169932631563e-05,0.003178534625779,False,False,False
CYP11A1,cytochrome P450 family 11 subfamily A member 1,3.3847861860326103,27.09721543920692,4.333136581607034,1.4699984822783955e-05,0.0032208239473401,False,False,False
,,5.106228601467336,23.035446040889887,4.29875734492381,1.7175839163914024e-05,0.0037150459299281,False,False,False
NICOL1,NELL2 interacting cell ontogeny regulator 1,-1.1325890955076612,1444.5963654657012,-4.288059483999791,1.8024083083731127e-05,0.0038491684266535,False,False,False
MT1L,metallothionein 1L (pseudogene),-6.169112183116116,19.054306040834437,-4.276513648511799,1.8984292301372187e-05,0.0040035499427056,False,False,False
PTMS,parathymosin,-1.129934003810878,419.3761333827768,-4.273130523428235,1.927475506075985e-05,0.0040146221312355,False,False,False
MTCO1P42,MT-CO1 pseudogene 42,-4.845450477510536,19.821039224931763,-4.234805626642928,2.287494806701554e-05,0.0046496776968508,False,False,False
LOC100128906,WDR45-like pseudogene,-1.7513856436482926,120.93935478344676,-4.22530434806202,2.3861806429826167e-05,0.0046998100114379,False,False,False
ARL4C,ARF like GTPase 4C,-1.8815301352460088,139.0028780219966,-4.224404860400056,2.395730312273484e-05,0.0046998100114379,False,False,False
AKR1C1,aldo-keto reductase family 1 member C1,-1.0689146582673985,582.5918590681683,-4.225981382689287,2.3790166123353982e-05,0.0046998100114379,False,False,False
MIR99AHG,mir-99a-let-7c cluster host gene,1.0500831599775364,340.32664577798323,4.218063205090841,2.464097550719774e-05,0.0047783666411716,False,False,False
LINC01224,long intergenic non-protein coding RNA 1224,-1.1431770338360654,422.4734623481245,-4.20927490773091,2.561915252765324e-05,0.0049115991169777,False,False,False
PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,1.1187961386807272,1230.0538107243972,4.183614137634157,2.8691093644358744e-05,0.0054387352907188,False,False,False
NES,nestin,-1.03021623453401,1597.1900313533913,-4.161963802220649,3.1552237494352694e-05,0.0058496461402991,False,False,False
NOX1,NADPH oxidase 1,-2.769662885494748,49.662022230370695,-4.159059216093013,3.1956105392988455e-05,0.005860124500925,False,False,False
DDX47,DEAD-box helicase 47,1.4477083448945245,142.46014117225675,4.148172764453872,3.351394552529745e-05,0.0059536906081764,False,False,False
PI3,peptidase inhibitor 3,-3.5866743718516414,32.25699640038029,-4.148097110792948,3.352501972477972e-05,0.0059536906081764,False,False,False
BHLHE40,basic helix-loop-helix family member e40,1.231961635207844,997.6922182413545,4.115089367871409,3.870294329410981e-05,0.0067889616673188,False,False,False
FRMD3,FERM domain containing 3,-1.4391858991421616,133.40145476688477,-4.099090476693166,4.147768803917289e-05,0.0071022714032573,False,False,False
E2F2,E2F transcription factor 2,-1.8779855247811212,191.2368250183173,-4.087342089800518,4.363434798347256e-05,0.0073615508482916,False,False,False
S100A9,S100 calcium binding protein A9,-1.025058551738803,601.421034545913,-4.06671303938471,4.7680896605738985e-05,0.0077899536526295,False,False,False
RND1,Rho family GTPase 1,1.902570271395276,252.9739502565208,4.065057709137131,4.802057849999847e-05,0.0077899536526295,False,False,False
FEM1C,fem-1 homolog C,1.0786496055030128,291.83065632842977,4.052222265706439,5.073343251686005e-05,0.0081516546665899,False,False,False
HSPB1P1,heat shock protein family B (small) member 1 pseudogene 1,-2.988517329383243,28.3605051893439,-4.033203889521787,5.502150066174407e-05,0.0085950716450396,False,False,False
CLDN7,claudin 7,-1.6038926627435002,143.8504707131871,-4.033245321417066,5.50117964055717e-05,0.0085950716450396,False,False,False
HOXA1,homeobox A1,2.1069572550213262,73.17448603613335,4.022483805517311,5.758761489219726e-05,0.0088323695531478,False,False,False
CDKN1A,cyclin dependent kinase inhibitor 1A,-1.6177913918066973,169.60956479242014,-4.01133749721659,6.037572792580325e-05,0.0091765667192452,False,False,False
COL26A1,collagen type XXVI alpha 1 chain,-1.0023121236050985,435.2259738485132,-4.002126965160254,6.277559456558895e-05,0.0093724518222659,False,False,False
STX11,syntaxin 11,3.0262174212842123,68.86227582577273,3.9953894906130096,6.45879797409384e-05,0.009558454440433,False,False,False
SIRT4,sirtuin 4,1.8522440678921093,90.631043161374,3.9755369393393374,7.022064277440674e-05,0.0103016736021479,False,False,False
CDH17,cadherin 17,-1.1785927584414049,1193.4935580901374,-3.960974846313448,7.464439647597113e-05,0.0104083945608291,False,False,False
TRPM2,transient receptor potential cation channel subfamily M member 2,-3.930543528452301,27.741009460849043,-3.9663845529358657,7.297109543579344e-05,0.0104083945608291,False,False,False
IL15,interleukin 15,4.8253436791770925,22.50290021708731,3.963516849078967,7.385364846651669e-05,0.0104083945608291,False,False,False
