gene_id,Control_4h,Control_12h,Control_24h,Control_48h,DENV_4h,DENV_12h,DENV_24h,DENV_48h,ZIKV_4h,ZIKV_12h,ZIKV_24h,ZIKV_48h
ENSG00000000003,19410,15898,12168,10691,21878,17593,5696,11176,10877,16552,13012,7987
ENSG00000000005,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000000419,7550,7292,4447,4675,4927,5356,2454,6450,4467,6119,5460,3438
ENSG00000000457,495,312,262,202,556,359,80,301,161,412,273,305
ENSG00000000460,679,828,615,810,979,537,173,396,452,1072,820,815
ENSG00000000938,0,0,11,0,0,1,0,0,0,0,0,0
ENSG00000000971,597,814,616,572,889,429,166,523,413,1051,613,466
ENSG00000001036,34183,31138,19292,17936,40151,35960,12270,22290,21361,26787,24019,12707
ENSG00000001084,544,442,315,412,750,355,174,821,296,469,380,600
ENSG00000001167,1613,1100,586,807,1887,1075,343,663,658,1042,621,317
ENSG00000001460,457,231,134,141,566,367,180,290,144,152,139,184
ENSG00000001461,418,368,242,323,761,955,448,1023,231,495,379,223
ENSG00000001497,6088,4747,3103,3402,8716,7260,2130,3511,2316,3752,3361,2259
ENSG00000001561,285,215,126,80,354,109,52,114,63,120,191,102
ENSG00000001617,13,15,18,8,19,39,4,11,13,40,12,30
ENSG00000001626,265,306,94,295,385,354,180,400,163,295,140,66
ENSG00000001629,671,430,438,326,1211,688,235,593,291,671,413,220
ENSG00000001630,1953,1574,926,1227,2706,2288,834,1741,931,1247,947,857
ENSG00000001631,1226,768,539,555,1625,726,229,929,548,973,655,666
ENSG00000002016,439,469,269,271,501,731,280,491,222,477,498,229
ENSG00000002079,42,10,21,25,37,65,4,27,8,20,24,10
ENSG00000002330,1329,1525,703,767,1504,1889,933,1743,778,608,596,483
ENSG00000002549,14596,10917,7863,8208,17011,14370,6142,9867,7995,10500,8209,5086
ENSG00000002586,6980,5891,2714,2822,7861,8244,3809,5071,3504,3363,2911,1817
ENSG00000002587,10,29,7,11,88,56,7,26,15,32,38,50
ENSG00000002726,0,19,0,0,15,29,1,9,0,0,0,0
ENSG00000002745,0,3,1,0,2,5,1,0,1,0,0,0
ENSG00000002746,116,207,47,26,130,104,43,79,55,18,25,62
ENSG00000002822,1292,1265,1051,743,1226,1933,593,1066,565,1198,1055,1131
ENSG00000002834,2418,1960,1216,1218,3118,3377,1201,1710,1184,1538,1202,585
ENSG00000002919,1178,763,677,435,854,803,377,849,411,915,834,518
ENSG00000002933,116,52,20,47,109,137,37,125,12,47,19,10
ENSG00000003056,7218,6033,4261,4235,8328,7568,2208,5438,3395,6442,4759,2301
ENSG00000003096,408,152,245,257,656,148,28,65,210,316,132,167
ENSG00000003137,50,23,47,35,60,37,14,60,26,27,40,22
ENSG00000003147,1366,1032,573,618,2269,1844,1185,4245,564,840,737,912
ENSG00000003249,501,348,352,301,403,308,88,238,143,375,281,159
ENSG00000003393,1193,698,601,539,1092,662,255,1054,519,706,683,946
ENSG00000003400,216,242,136,146,275,212,101,216,157,205,184,144
ENSG00000003402,2911,2342,1419,1393,3388,3290,949,2091,1613,1768,1150,937
ENSG00000003436,16268,12947,7486,9294,20625,17195,4172,9933,9060,10339,7704,3694
ENSG00000003509,987,725,578,669,1202,808,477,1028,516,598,687,649
ENSG00000003756,2274,1960,1332,1308,2706,2901,947,2957,1005,2014,1661,2086
ENSG00000003987,67,36,31,13,64,44,21,25,20,33,54,46
ENSG00000003989,1213,1261,898,1179,1849,904,658,1822,740,1057,1221,1013
ENSG00000004059,9492,8039,4885,4745,7986,10108,3217,5547,4165,6548,4877,3179
ENSG00000004139,22,6,6,13,41,68,6,17,2,85,5,10
ENSG00000004142,13644,12481,8981,7519,17419,16754,6431,9710,7421,11866,9431,6326
