gene_id,Control_4h,Control_12h,Control_24h,Control_48h,DENV_4h,DENV_12h,DENV_24h,DENV_48h,ZIKV_4h,ZIKV_12h,ZIKV_24h,ZIKV_48h
ENSG00000000003,19410,15898,12168,10691,10679,8182,2482,7615,10877,16552,13012,7987
ENSG00000000005,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,7550,7292,4447,4675,2398,2631,955,4216,4467,6119,5460,3438
ENSG00000000457,495,312,262,202,288,165,26,133,161,412,273,305
ENSG00000000460,679,828,615,810,596,338,96,311,452,1072,820,815
ENSG00000000938,0,0,11,0,0,1,0,0,0,0,0,0
ENSG00000000971,597,814,616,572,364,177,108,304,413,1051,613,466
ENSG00000001036,34183,31138,19292,17936,20908,17198,5958,13494,21361,26787,24019,12707
ENSG00000001084,544,442,315,412,429,152,55,349,296,469,380,600
ENSG00000001167,1613,1100,586,807,1195,484,162,421,658,1042,621,317
ENSG00000001460,457,231,134,141,131,173,45,227,144,152,139,184
ENSG00000001461,418,368,242,323,251,517,197,710,231,495,379,223
ENSG00000001497,6088,4747,3103,3402,4684,3395,1074,2329,2316,3752,3361,2259
ENSG00000001561,285,215,126,80,147,46,18,65,63,120,191,102
ENSG00000001617,13,15,18,8,2,8,2,8,13,40,12,30
ENSG00000001626,265,306,94,295,199,108,79,303,163,295,140,66
ENSG00000001629,671,430,438,326,420,310,102,391,291,671,413,220
ENSG00000001630,1953,1574,926,1227,1174,1141,337,1250,931,1247,947,857
ENSG00000001631,1226,768,539,555,762,332,84,560,548,973,655,666
ENSG00000002016,439,469,269,271,153,363,82,347,222,477,498,229
ENSG00000002079,42,10,21,25,23,43,4,20,8,20,24,10
ENSG00000002330,1329,1525,703,767,634,961,351,1073,778,608,596,483
ENSG00000002549,14596,10917,7863,8208,8965,6627,2814,6235,7995,10500,8209,5086
ENSG00000002586,6980,5891,2714,2822,3794,4213,1606,3365,3504,3363,2911,1817
ENSG00000002587,10,29,7,11,39,33,2,11,15,32,38,50
ENSG00000002726,0,19,0,0,0,29,0,9,0,0,0,0
ENSG00000002745,0,3,1,0,2,5,1,0,1,0,0,0
ENSG00000002746,116,207,47,26,86,78,10,58,55,18,25,62
ENSG00000002822,1292,1265,1051,743,773,1122,229,702,565,1198,1055,1131
ENSG00000002834,2418,1960,1216,1218,1823,1538,668,1041,1184,1538,1202,585
ENSG00000002919,1178,763,677,435,595,316,131,638,411,915,834,518
ENSG00000002933,116,52,20,47,39,53,30,78,12,47,19,10
