gene_id,symbol,name,entrezgene,type_of_gene
ENSG00000185046,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,56899,protein-coding
ENSG00000089199,CHGB,chromogranin B,1114,protein-coding
ENSG00000112977,DAP,death associated protein,1611,protein-coding
ENSG00000229117,RPL41,ribosomal protein L41,6171,protein-coding
ENSG00000226479,TMEM185B,transmembrane protein 185B,79134,protein-coding
ENSG00000108021,TASOR2,transcription activation suppressor family member 2,54906,protein-coding
ENSG00000254873,,,,
ENSG00000075292,ZNF638,zinc finger protein 638,27332,protein-coding
ENSG00000125107,CNOT1,CCR4-NOT transcription complex subunit 1,23019,protein-coding
ENSG00000248559,,,,
ENSG00000275119,,,,
ENSG00000259250,,,,
ENSG00000089280,FUS,FUS RNA binding protein,2521,protein-coding
ENSG00000174738,NR1D2,nuclear receptor subfamily 1 group D member 2,9975,protein-coding
ENSG00000215198,,,,
ENSG00000132912,DCTN4,dynactin subunit 4,51164,protein-coding
ENSG00000198951,NAGA,alpha-N-acetylgalactosaminidase,4668,protein-coding
ENSG00000198796,ALPK2,alpha kinase 2,115701,protein-coding
ENSG00000258959,,,,
ENSG00000179913,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",10331,protein-coding
ENSG00000178295,GEN1,GEN1 structure-specific endonuclease,348654,protein-coding
ENSG00000203963,C1orf141,chromosome 1 open reading frame 141,400757,protein-coding
ENSG00000271265,,,,
ENSG00000127920,GNG11,G protein subunit gamma 11,2791,protein-coding
ENSG00000279032,,,,
ENSG00000092439,TRPM7,transient receptor potential cation channel subfamily M member 7,54822,protein-coding
ENSG00000130950,NUTM2F,NUT family member 2F,54754,protein-coding
ENSG00000143882,ATP6V1C2,ATPase H+ transporting V1 subunit C2,245973,protein-coding
ENSG00000171488,LRRC8C,leucine rich repeat containing 8 VRAC subunit C,84230,protein-coding
ENSG00000277142,LINC00235,long intergenic non-protein coding RNA 235,,
ENSG00000107331,ABCA2,ATP binding cassette subfamily A member 2,20,protein-coding
ENSG00000166881,NEMP1,nuclear envelope integral membrane protein 1,23306,protein-coding
ENSG00000240052,,,,
ENSG00000103507,BCKDK,branched chain keto acid dehydrogenase kinase,10295,protein-coding
ENSG00000170537,TMC7,transmembrane channel like 7,79905,protein-coding
ENSG00000163374,YY1AP1,YY1 associated protein 1,55249,protein-coding
ENSG00000115875,SRSF7,serine and arginine rich splicing factor 7,6432,protein-coding
ENSG00000154945,ANKRD40,ankyrin repeat domain 40,91369,protein-coding
ENSG00000165632,TAF3,TATA-box binding protein associated factor 3,83860,protein-coding
ENSG00000259837,LINC01904,long intergenic non-protein coding RNA 1904,388456,ncRNA
ENSG00000141873,SLC39A3,solute carrier family 39 member 3,29985,protein-coding
ENSG00000123600,METTL8,"methyltransferase 8, tRNA N3-cytidine",79828,protein-coding
ENSG00000137815,RTF1,"RTF1 homolog, Paf1/RNA polymerase II complex component",23168,protein-coding
ENSG00000279732,,,,
ENSG00000100852,ARHGAP5,Rho GTPase activating protein 5,394,protein-coding
ENSG00000226330,PPP1R15B-AS1,PPP1R15B and PIK3C2B antisense RNA 1,,
ENSG00000248493,,,,
ENSG00000115275,MOGS,mannosyl-oligosaccharide glucosidase,7841,protein-coding
ENSG00000116809,ZBTB17,zinc finger and BTB domain containing 17,7709,protein-coding
ENSG00000132254,ARFIP2,ARF interacting protein 2,23647,protein-coding
ENSG00000224822,THRB-IT1,THRB intronic transcript 1,,
ENSG00000130827,PLXNA3,plexin A3,55558,protein-coding
ENSG00000132432,SEC61G,SEC61 translocon subunit gamma,23480,protein-coding
ENSG00000270084,GAS5-AS1,GAS5 antisense RNA 1,,
ENSG00000166171,DPCD,deleted in primary ciliary dyskinesia homolog (mouse),25911,protein-coding
ENSG00000242110,AMACR,alpha-methylacyl-CoA racemase,23600,protein-coding
ENSG00000259420,LOC105370906,uncharacterized LOC105370906,105370906,ncRNA
ENSG00000156011,PSD3,pleckstrin and Sec7 domain containing 3,23362,protein-coding
ENSG00000262147,FOXK2-AS1,FOXK2 antisense RNA 1,,
ENSG00000163710,PCOLCE2,procollagen C-endopeptidase enhancer 2,26577,protein-coding
ENSG00000136371,MTHFS,methenyltetrahydrofolate synthetase,10588,protein-coding
ENSG00000124721,DNAH8,dynein axonemal heavy chain 8,1769,protein-coding
ENSG00000146476,DCPH1,damage control phosphatase 1,79624,protein-coding
ENSG00000269959,SPACA6-AS1,SPACA6 antisense RNA 1,102238594,ncRNA
ENSG00000144744,UBA3,ubiquitin like modifier activating enzyme 3,9039,protein-coding
ENSG00000165879,FRAT1,FRAT regulator of Wnt signaling pathway 1,10023,protein-coding
ENSG00000272677,HNRNPD-DT,HNRNPD divergent transcript,,
ENSG00000259237,LOC107983981,uncharacterized LOC107983981,107983981,ncRNA
ENSG00000279365,,,,
ENSG00000266993,,,,
ENSG00000172775,PSME3IP1,proteasome activator subunit 3 interacting protein 1,80011,protein-coding
ENSG00000125611,CHCHD5,coiled-coil-helix-coiled-coil-helix domain containing 5,84269,protein-coding
ENSG00000254879,PTPRJ-AS1,PTPRJ antisense RNA 1,,
ENSG00000249776,,,,
ENSG00000227911,LINC02344,long intergenic non-protein coding RNA 2344,,
ENSG00000250659,,,,
ENSG00000120690,ELF1,E74 like ETS transcription factor 1,1997,protein-coding
ENSG00000221214,MIR548E,microRNA 548e,100313921,ncRNA
ENSG00000236861,BET1-AS1,BET1 antisense RNA 1,,
ENSG00000197321,SVIL,supervillin,6840,protein-coding
ENSG00000166402,TUB,TUB bipartite transcription factor,7275,protein-coding
ENSG00000142513,ACP4,acid phosphatase 4,93650,protein-coding
ENSG00000188817,SNTN,"sentan, cilia apical structure protein",132203,protein-coding
ENSG00000165757,JCAD,junctional cadherin 5 associated,57608,protein-coding
ENSG00000275709,,,,
ENSG00000163703,CRELD1,CRELD disulfide isomerase 1,78987,protein-coding
ENSG00000258857,,,,
ENSG00000272312,,,,
ENSG00000084073,ZMPSTE24,zinc metallopeptidase STE24,10269,protein-coding
ENSG00000132874,SLC14A2,solute carrier family 14 member 2,8170,protein-coding
ENSG00000146143,PRIM2,DNA primase subunit 2,5558,protein-coding
ENSG00000158417,EIF5B,eukaryotic translation initiation factor 5B,9669,protein-coding
ENSG00000267934,,,,
ENSG00000271387,C1orf21-DT,C1orf21 divergent transcript,118827814,ncRNA
ENSG00000228063,LYPLAL1-DT,LYPLAL1 divergent transcript,643723,ncRNA
ENSG00000261504,LINC01686,long intergenic non-protein coding RNA 1686,284648,ncRNA
ENSG00000116774,OLFML3,olfactomedin like 3,56944,protein-coding
ENSG00000213699,SLC35F6,solute carrier family 35 member F6,54978,protein-coding
ENSG00000196705,ZNF431,zinc finger protein 431,170959,protein-coding
ENSG00000122188,LAX1,lymphocyte transmembrane adaptor 1,54900,protein-coding
ENSG00000264924,,,,
ENSG00000205659,LIN52,lin-52 DREAM MuvB core complex component,91750,protein-coding
ENSG00000254222,,,,
ENSG00000198431,TXNRD1,thioredoxin reductase 1,7296,protein-coding
ENSG00000272760,,,,
ENSG00000108924,HLF,"HLF transcription factor, PAR bZIP family member",3131,protein-coding
ENSG00000185090,MANEAL,mannosidase endo-alpha like,149175,protein-coding
ENSG00000267080,ASB16-AS1,ASB16 antisense RNA 1,339201,ncRNA
ENSG00000111361,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha,1967,protein-coding
ENSG00000110455,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),84680,protein-coding
ENSG00000087053,MTMR2,myotubularin related protein 2,8898,protein-coding
ENSG00000164885,CDK5,cyclin dependent kinase 5,1020,protein-coding
ENSG00000171522,PTGER4,prostaglandin E receptor 4,5734,protein-coding
ENSG00000264364,DYNLL2,dynein light chain LC8-type 2,140735,protein-coding
ENSG00000187105,HEATR4,HEAT repeat containing 4,399671,protein-coding
ENSG00000240498,CDKN2B-AS1,CDKN2B and CDKN2A antisense cis and trans regulatory RNA 1,100048912,ncRNA
ENSG00000224875,EML4-AS1,EML4 antisense RNA 1,102723824,ncRNA
ENSG00000269535,,,,
ENSG00000170989,S1PR1,sphingosine-1-phosphate receptor 1,1901,protein-coding
ENSG00000267092,,,,
ENSG00000157330,CFAP107,cilia and flagella associated protein 107,93190,protein-coding
ENSG00000177191,B3GNT8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",374907,protein-coding
ENSG00000241058,NSUN6,NOP2/Sun RNA methyltransferase 6,221078,protein-coding
ENSG00000257556,LOC124903398,uncharacterized LOC124903398,124903398,ncRNA
ENSG00000262814,MRPL12,mitochondrial ribosomal protein L12,6182,protein-coding
ENSG00000147454,SLC25A37,solute carrier family 25 member 37,51312,protein-coding
ENSG00000140326,CDAN1,codanin 1,146059,protein-coding
ENSG00000138180,CEP55,centrosomal protein 55,55165,protein-coding
ENSG00000103429,BFAR,bifunctional apoptosis regulator,51283,protein-coding
ENSG00000282381,,,,
ENSG00000204616,TRIM31,tripartite motif containing 31,11074,protein-coding
ENSG00000133636,NTS,neurotensin,4922,protein-coding
ENSG00000279360,,,,
ENSG00000272702,,,,
ENSG00000130943,PKDREJ,polycystin family receptor for egg jelly,10343,protein-coding
ENSG00000013523,ANGEL1,angel homolog 1,23357,protein-coding
ENSG00000106976,DNM1,dynamin 1,1759,protein-coding
ENSG00000105556,MIER2,MIER family member 2,54531,protein-coding
ENSG00000165283,STOML2,stomatin like 2,30968,protein-coding
ENSG00000130748,TMEM160,transmembrane protein 160,54958,protein-coding
ENSG00000261211,,,,
ENSG00000145730,PAM,peptidylglycine alpha-amidating monooxygenase,5066,protein-coding
ENSG00000118785,SPP1,secreted phosphoprotein 1,6696,protein-coding
ENSG00000265142,MIR133A1HG,MIR133A1 host gene,102723167,ncRNA
ENSG00000135686,KLHL36,kelch like family member 36,79786,protein-coding
ENSG00000281691,RBM5-AS1,RBM5 antisense RNA 1,100775107,ncRNA
ENSG00000169896,ITGAM,integrin subunit alpha M,3684,protein-coding
ENSG00000172650,AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",729092,protein-coding
ENSG00000103423,DNAJA3,DnaJ heat shock protein family (Hsp40) member A3,9093,protein-coding
ENSG00000162704,ARPC5,actin related protein 2/3 complex subunit 5,10092,protein-coding
ENSG00000259257,,,,
ENSG00000271127,,,,
ENSG00000186470,BTN3A2,butyrophilin subfamily 3 member A2,11118,protein-coding
ENSG00000252122,LOC124900382,small nucleolar RNA SNORA76,124900382,snoRNA
ENSG00000145687,SSBP2,single stranded DNA binding protein 2,23635,protein-coding
ENSG00000126432,PRDX5,peroxiredoxin 5,25824,protein-coding
ENSG00000111886,GABRR2,gamma-aminobutyric acid type A receptor subunit rho2,2570,protein-coding
ENSG00000173451,THAP2,THAP domain containing 2,83591,protein-coding
ENSG00000198369,SPRED2,sprouty related EVH1 domain containing 2,200734,protein-coding
ENSG00000163491,NEK10,NIMA related kinase 10,152110,protein-coding
ENSG00000170473,PYM1,PYM1 exon junction complex associated factor,84305,protein-coding
ENSG00000116731,PRDM2,PR/SET domain 2,7799,protein-coding
ENSG00000241684,ADAMTS9-AS2,ADAMTS9 antisense RNA 2,100507098,ncRNA
ENSG00000180044,C3orf80,chromosome 3 open reading frame 80,401097,protein-coding
ENSG00000135457,TFCP2,transcription factor CP2,7024,protein-coding
ENSG00000265254,,,,
ENSG00000101405,OXT,oxytocin/neurophysin I prepropeptide,5020,protein-coding
ENSG00000257831,,,,
