Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label,library
GO_Biological_Process_2023,Cellular Response To Copper Ion (GO:0071280),7/20,6.8145439339902405e-09,9.315481557764656e-06,0,0,38.583216783216784,725.5267833476108,PRNP;MT2A;MT1L;MT1M;MT1F;MT1X;MT1E,5.030794689616457,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Response To Copper Ion (GO:0046688),7/24,2.89902816842926e-08,1.527188590498193e-05,0,0,29.49882352941177,511.9905835524503,PRNP;MT2A;MT1L;MT1M;MT1F;MT1X;MT1E,4.816107329181038,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Zinc Ion (GO:0071294),6/15,3.35154774798433e-08,1.527188590498193e-05,0,0,47.60628019323672,819.3639941763707,MT2A;MT1L;MT1M;MT1F;MT1X;MT1E,4.816107329181038,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Response To Zinc Ion (GO:0010043),6/25,1.053261668347821e-06,0.00035995217515786784,0,0,22.538901601830663,310.21685111940513,MT2A;MT1L;MT1M;MT1F;MT1X;MT1E,3.4437551976904244,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),6/59,0.00017935659404535445,0.0490360928119999,0,0,8.066037735849056,69.57872710381446,CXCL10;DUSP1;CCL4;CXCL1;CXCL3;CXCL5,1.3094841416256442,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of DNA Metabolic Process (GO:0051053),5/49,0.0006176008708915997,0.1407100650848028,0,0,8.071053495241221,59.642406943726925,TSPYL2;H1-4;H1-1;H1-0;H1-3,0.8516748360801925,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Viral Genome Replication (GO:0045071),5/53,0.0008878382423101656,0.1645707977742016,0,0,7.396961492178098,51.97638458763704,IFITM3;IFITM1;OAS1;MX1;ISG15,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Chromosome Condensation (GO:0030261),4/32,0.0010193853840161,0.1645707977742016,0,0,10.118191161356629,69.69972034246828,H1-4;H1-1;H1-0;H1-3,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916),4/33,0.0011472497737786,0.1645707977742016,0,0,9.768791863061276,66.13850829184783,IL23A;ULBP2;MR1;ULBP1,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),5/57,0.0012375320025877,0.1645707977742016,0,0,6.826575951124688,45.70144250614914,CXCL10;CCL4;CXCL1;CXCL3;CXCL5,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Positive Chemotaxis (GO:0050927),3/16,0.0013555575841727,0.1645707977742016,0,0,16.29859387923904,107.62845587329244,F7;VEGFB;VEGFA,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Response To Interferon-Alpha (GO:0035455),3/17,0.0016289631082915,0.1645707977742016,0,0,15.133640552995391,97.15512111881355,IFITM3;IFITM1;LAMP3,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Viral Process (GO:0048525),5/61,0.0016798373826055,0.1645707977742016,0,0,6.337674058793192,40.49176896132864,IFITM3;IFITM1;OAS1;MX1;ISG15,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Growth (GO:0045926),7/124,0.0019045095430016,0.1645707977742016,0,0,4.264397824397824,26.710186951508167,TSPYL2;MT2A;MT1L;MT1M;MT1F;MT1X;MT1E,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Mast Cell Chemotaxis (GO:0060753),2/5,0.001926212702551,0.1645707977742016,0,0,46.94047619047619,293.4812233752112,VEGFB;VEGFA,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Interleukin-27-Mediated Signaling Pathway (GO:0070106),2/5,0.001926212702551,0.1645707977742016,0,0,46.94047619047619,293.4812233752112,OAS1;MX1,0.7836472255676532,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Viral Genome Replication (GO:0045069),5/67,0.002546775722905,0.1809087262235782,0,0,5.722603936182602,34.18069637482002,IFITM3;IFITM1;OAS1;MX1;ISG15,0.7425404842217445,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of DNA Recombination (GO:0045910),4/41,0.0025996418360529,0.1809087262235782,0,0,7.653509624732647,45.55660985655938,H1-4;H1-1;H1-0;H1-3,0.7425404842217445,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Vascular Associated Smooth Muscle Cell Development (GO:0097084),2/6,0.0028624480953864,0.1809087262235782,0,0,35.20357142857143,206.15486167389497,HES1;VEGFA,0.7425404842217445,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Response To Cadmium Ion (GO:0046686),3/21,0.0030561513600618,0.1809087262235782,0,0,11.768219832735962,68.14504058407387,MT1F;MT1X;MT1E,0.7425404842217445,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),7/135,0.0030746387751776,0.1809087262235782,0,0,3.895738636363636,22.535164491718408,PRNP;MT2A;MT1L;MT1M;MT1F;MT1X;MT1E,0.7425404842217445,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),5/70,0.0030845358212463,0.1809087262235782,0,0,5.457650652596501,31.55261095533365,CXCL10;CCL4;CXCL1;CXCL3;CXCL5,0.7425404842217445,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Regulation Of DNA Recombination (GO:0000018),4/44,0.0033717459095555,0.1809087262235782,0,0,7.07841726618705,40.292648696005855,H1-4;H1-1;H1-0;H1-3,0.7425404842217445,GO_BP,DENV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion (GO:0007162),5/72,0.0034856896114483,0.1809087262235782,0,0,5.294196885608061,29.960333341570788,DUSP1;DACT2;LPXN;RND1;PLXNA3,0.7425404842217445,GO_BP,DENV_up,GO_BP
