Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label,library
GO_Biological_Process_2023,Peptidyl-Lysine Deacetylation (GO:0034983),3/7,1.0837720366716864e-06,0.0007857347265869726,0,0,245.0655737704918,3365.991088824544,SIRT4;HDAC9;SIRT1,3.104724052211071,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),7/236,1.021754016566897e-05,0.003215133562318,0,0,10.568375086187084,121.44547503583986,CXCL6;TRAF3IP2;PLA2G4C;CCL4;CXCL1;FOS;HDAC9,2.4928009810063663,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Glucose Metabolic Process (GO:0010907),3/15,1.3833853485945852e-05,0.003215133562318,0,0,81.65573770491804,913.5963876883504,PMAIP1;IRS2;SIRT1,2.4928009810063663,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),7/257,1.7738667930030568e-05,0.003215133562318,0,0,9.670315789473683,105.79096937432968,CXCL6;TRAF3IP2;IL15;CCL4;CXCL1;SIRT1;BIRC3,2.4928009810063663,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Cell Development (GO:0060284),4/52,2.299989706043738e-05,0.0033349850737634,0,0,27.622222222222224,295.0059083638694,BHLHE40;BHLHE41;HDAC9;BMAL1,2.476906105494568,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),4/59,3.802309338311451e-05,0.0045944571171263,0,0,24.098181818181818,245.25483216695287,CXCL6;DUSP1;CCL4;CXCL1,2.3377657976544137,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion (GO:0007162),4/72,8.331572537841455e-05,0.0086291286999072,0,0,19.478431372549014,182.95843692407703,DUSP1;LPXN;SPINT2;RND1,2.064033053638867,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Glucose Metabolic Process (GO:0010906),3/28,9.668936491926544e-05,0.0087624736958084,0,0,39.16918032786885,362.0801826855765,PMAIP1;IRS2;SIRT1,2.057373272737971,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Melanin Biosynthetic Process (GO:0048023),2/7,0.00020950564474475007,0.0151891592439943,0,0,128.58709677419355,1089.2304198073584,ZEB2;TYRP1,1.8184662647020116,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Secondary Metabolite Biosynthetic Process (GO:1900378),2/7,0.00020950564474475007,0.0151891592439943,0,0,128.58709677419355,1089.2304198073584,ZEB2;TYRP1,1.8184662647020116,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Protein Deacetylation (GO:0006476),3/40,0.0002837268518273068,0.0182901579098808,0,0,26.44971200708905,216.02798504664477,SIRT4;HDAC9;SIRT1,1.737782544983188,GO_BP,ZIKV_up,GO_BP
