Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label,library
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),3/59,1.0818393343276164e-05,0.0020224615418842,0,0,88.96875,1017.292067162084,DUSP1;CCL4;CXCL1,2.6941197279635394,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion (GO:0007162),3/72,1.9731332115943736e-05,0.0020224615418842,0,0,72.15942028985508,781.7248443110266,DUSP1;LPXN;RND1,2.6941197279635394,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),5/537,3.2904586065641535e-05,0.0022484800478188,0,0,18.282894736842103,188.7141840490116,TSPYL2;DUSP1;LPXN;CXCL1;RND1,2.6481109618477148,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Cell Adhesion (GO:0030155),3/144,0.00015608889034145876,0.0079995556299997,0,0,35.184397163120565,308.39422839962094,DUSP1;LPXN;RND1,2.096934137107946,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),3/236,0.0006646107397307463,0.0249245058379718,0,0,21.1931330472103,155.0555109518539,PLA2G4C;CCL4;CXCL1,1.6033734434062559,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),2/57,0.0008181896125140755,0.0249245058379718,0,0,55.74825174825175,396.2817896791765,CCL4;CXCL1,1.6033734434062559,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),3/257,0.0008510806871502586,0.0249245058379718,0,0,19.42027559055118,137.2819984388249,CCL4;CXCL1;BIRC3,1.6033734434062559,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),2/70,0.0012311035751016,0.0304754619545214,0,0,45.06108597285068,301.902259841425,CCL4;CXCL1,1.5160497025174895,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),2/73,0.0013379471101985,0.0304754619545214,0,0,43.15059588299025,285.51104598113415,CCL4;CXCL1,1.5160497025174895,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),2/77,0.0014870860669846,0.0304852643731846,0,0,40.84102564102564,265.9133340826656,CCL4;CXCL1,1.5159100343531524,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Cell Cycle (GO:0045786),2/85,0.0018081168721341,0.0336967235261357,0,0,36.889712696941615,232.97585087988176,TSPYL2;DUSP1,1.4724123253511257,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Tumor Necrosis Factor (GO:0071356),2/119,0.0035040412396079,0.0403328229492621,0,0,26.12491781722551,147.7060618977154,CCL4;BIRC3,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Meiotic Cell Cycle (GO:0051447),1/5,0.0037446970839379,0.0403328229492621,0,0,356.80357142857144,1993.609466758919,DUSP1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),1/5,0.0037446970839379,0.0403328229492621,0,0,356.80357142857144,1993.609466758919,DUSP1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of B Cell Receptor Signaling Pathway (GO:0050859),1/5,0.0037446970839379,0.0403328229492621,0,0,356.80357142857144,1993.609466758919,LPXN,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Mitotic Spindle Checkpoint (GO:1903504),1/5,0.0037446970839379,0.0403328229492621,0,0,356.80357142857144,1993.609466758919,DUSP1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),2/130,0.0041649259926423,0.0403328229492621,0,0,23.86658653846154,130.81411578057612,LPXN;INHBE,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Pyruvate Dehydrogenase Activity (GO:1904182),1/6,0.0044920683932145,0.0403328229492621,0,0,285.42857142857144,1542.8675927558304,SIRT4,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of p38MAPK Cascade (GO:1903753),1/6,0.0044920683932145,0.0403328229492621,0,0,285.42857142857144,1542.8675927558304,DUSP1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501),1/6,0.0044920683932145,0.0403328229492621,0,0,285.42857142857144,1542.8675927558304,CCL4,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Fatty Acid Oxidation (GO:0046322),1/7,0.0052389168941443,0.0403328229492621,0,0,237.8452380952381,1249.0776854949,SIRT4,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Peptidyl-Lysine Deacetylation (GO:0034983),1/7,0.0052389168941443,0.0403328229492621,0,0,237.8452380952381,1249.0776854949,SIRT4,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Macrophage Migration (GO:1905522),1/7,0.0052389168941443,0.0403328229492621,0,0,237.8452380952381,1249.0776854949,CD200R1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Platelet Activating Factor Metabolic Process (GO:0046469),1/7,0.0052389168941443,0.0403328229492621,0,0,237.8452380952381,1249.0776854949,PLA2G4C,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Tricarboxylic Acid Metabolic Process (GO:0072350),1/8,0.0059852428364459,0.0403328229492621,0,0,203.8571428571429,1043.434298452164,SIRT4,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Macrophage Migration (GO:1905521),1/8,0.0059852428364459,0.0403328229492621,0,0,203.8571428571429,1043.434298452164,CD200R1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Mitotic Sister Chromatid Segregation (GO:0033047),1/8,0.0059852428364459,0.0403328229492621,0,0,203.8571428571429,1043.434298452164,DUSP1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062207),1/8,0.0059852428364459,0.0403328229492621,0,0,203.8571428571429,1043.434298452164,BIRC3,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Ether Lipid Biosynthetic Process (GO:0008611),1/9,0.0067310464938694,0.0403328229492621,0,0,178.36607142857142,892.013120036697,PLA2G4C,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Migration (GO:0002686),1/9,0.0067310464938694,0.0403328229492621,0,0,178.36607142857142,892.013120036697,CD200R1,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Phosphatidylethanolamine Acyl-Chain Remodeling (GO:0036152),1/9,0.0067310464938694,0.0403328229492621,0,0,178.36607142857142,892.013120036697,PLA2G4C,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Necroptotic Process (GO:0060546),1/9,0.0067310464938694,0.0403328229492621,0,0,178.36607142857142,892.013120036697,BIRC3,1.3943413800657307,GO_BP,shared_up,GO_BP
GO_Biological_Process_2023,Regulation Of Viral-Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039531),1/9,0.0067310464938694,0.0403328229492621,0,0,178.36607142857142,892.013120036697,BIRC3,1.3943413800657307,GO_BP,shared_up,GO_BP
