Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
GO_Molecular_Function_2023,Insulin-Like Growth Factor II Binding (GO:0031995),2/6,0.0016924471398015,0.1887078560878703,0,0,46.21495327102804,294.92441159092215,IGFBP4;IGFBP3,0.7242100193655878,GO_MF,DENV_down
GO_Molecular_Function_2023,Nucleoside Kinase Activity (GO:0019206),2/6,0.0016924471398015,0.1887078560878703,0,0,46.21495327102804,294.92441159092215,CMPK1;DCK,0.7242100193655878,GO_MF,DENV_down
GO_Molecular_Function_2023,Metalloexopeptidase Activity (GO:0008235),4/57,0.0033412652319404,0.1984064289993504,0,0,7.024207903168388,40.04785920024333,CPB2;ENPEP;VASH2;METAP1,0.7024442594313087,GO_MF,DENV_down
GO_Molecular_Function_2023,Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416),2/9,0.0039759476215584,0.1984064289993504,0,0,26.4045393858478,145.95088454737277,SLC25A22;SLC38A4,0.7024442594313087,GO_MF,DENV_down
GO_Molecular_Function_2023,Transferrin Receptor Binding (GO:1990459),2/10,0.0049346987226642,0.1984064289993504,0,0,23.10280373831776,122.70970243239832,CHUK;HJV,0.7024442594313087,GO_MF,DENV_down
GO_Molecular_Function_2023,Ubiquitin-Protein Transferase Activity (GO:0004842),11/412,0.0053382895694892,0.1984064289993504,0,0,2.593674350708594,13.572308781125544,TRIM6;RNF138;UHRF1;RNF26;TRIM3;CUL2;PELI1;MKRN3;FBXL3;KLHL13;TRIM45,0.7024442594313087,GO_MF,DENV_down
GO_Molecular_Function_2023,Insulin-Like Growth Factor I Binding (GO:0031994),2/12,0.0071354273963713,0.2273143299129725,0,0,18.4803738317757,91.3426319460225,IGFBP4;IGFBP3,0.6433731854542456,GO_MF,DENV_down
GO_Molecular_Function_2023,Insulin-Like Growth Factor Binding (GO:0005520),2/15,0.0111128999635977,0.3097720864852877,0,0,14.21351545650611,63.95582615533973,IGFBP4;IGFBP3,0.5089577190221979,GO_MF,DENV_down
GO_Molecular_Function_2023,Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538),3/46,0.0134084388738175,0.3322313187623685,0,0,6.466098919095972,27.88098443528613,CCNA2;KAT2B;CCNG1,0.4785594299082223,GO_MF,DENV_down
GO_Molecular_Function_2023,Metalloaminopeptidase Activity (GO:0070006),2/19,0.0175936111728286,0.3566704810491627,0,0,10.866959868059372,43.90490256026175,ENPEP;METAP1,0.44773283248376533,GO_MF,DENV_down
GO_Molecular_Function_2023,UDP-galactosyltransferase Activity (GO:0035250),2/19,0.0175936111728286,0.3566704810491627,0,0,10.866959868059372,43.90490256026175,B3GALNT1;B3GNT2,0.44773283248376533,GO_MF,DENV_down
GO_Molecular_Function_2023,Ubiquitin Protein Ligase Activity (GO:0061630),8/311,0.0200949105546779,0.370652593964936,0,0,2.472835745112973,9.662083169311224,TRIM6;RNF138;UHRF1;RNF26;TRIM3;PELI1;MKRN3;TRIM45,0.431032956177027,GO_MF,DENV_down
GO_Molecular_Function_2023,Ubiquitin-Like Protein Ligase Activity (GO:0061659),8/319,0.022967886356337,0.370652593964936,0,0,2.4082364580756863,9.087861460061236,TRIM6;RNF138;UHRF1;RNF26;TRIM3;PELI1;MKRN3;TRIM45,0.431032956177027,GO_MF,DENV_down
GO_Molecular_Function_2023,Single-Stranded DNA Helicase Activity (GO:0017116),2/22,0.023269669576274,0.370652593964936,0,0,9.235514018691587,34.7311155907624,RFC3;MCM6,0.431032956177027,GO_MF,DENV_down
