Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
MSigDB_Hallmark_2020,E2F Targets,14/200,3.8819888959343756e-08,1.6304353362924374e-06,0,0,7.302565740445012,124.613414422789,PLK4;TCF19;GINS1;RFC3;SPAG5;GINS3;SRSF1;DCK;TACC3;MCM6;DLGAP5;TMPO;ASF1B;MAD2L1,5.7876964208066655,Hallmarks,DENV_down
MSigDB_Hallmark_2020,G2-M Checkpoint,11/200,1.1793773523428645e-05,0.0002476692439920015,0,0,5.563169441218221,63.13050653802891,PLK4;CCNA2;RBL1;SRSF1;PBK;TACC3;CDC7;MCM6;BUB1;TMPO;MAD2L1,3.6061279215283455,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Xenobiotic Metabolism,7/200,0.0061541659944883,0.086158323922837,0,0,3.399781838014726,17.307017917573763,ENPEP;ARG1;IGFBP4;PROS1;ANGPTL3;MAN1A1;MBL2,1.0647027581564918,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,5/200,0.0662287534760395,0.6954019114984148,0,0,2.380483655365172,6.462157501839675,IGFBP4;LUM;IGFBP3;DKK1;MATN3,0.15776411987641184,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Myc Targets V2,2/58,0.1297944843394028,0.8403633384424212,0,0,3.2923898531375166,6.722411377729354,PLK4;PRMT3,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Adipogenesis,4/200,0.1711183244038166,0.8403633384424212,0,0,1.8856372737774356,3.3289040548034623,ABCA1;CHUK;ATL2;CMPK1,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Myc Targets V1,4/200,0.1711183244038166,0.8403633384424212,0,0,1.8856372737774356,3.3289040548034623,CCNA2;SRSF1;MCM6;MAD2L1,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Coagulation,3/138,0.1875952543417643,0.8403633384424212,0,0,2.0499739175795515,3.430566857692072,CPB2;PROS1;MBL2,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,UV Response Up,3/158,0.2437183893722921,0.8403633384424212,0,0,1.783643798273512,2.5180446171699176,CHRNA5;NPTX2;E2F5,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Angiogenesis,1/36,0.3237945297733404,0.8403633384424212,0,0,2.624451827242525,2.959452950889218,LUM,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Bile Acid Metabolism,2/112,0.3414497957645153,0.8403633384424212,0,0,1.671537807986406,1.796158676946364,ABCA1;ABCD3,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Pancreas Beta Cells,1/40,0.3525898368719749,0.8403633384424212,0,0,2.3548002385211686,2.454761114984513,SRP9,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Mitotic Spindle,3/199,0.3640365683738724,0.8403633384424212,0,0,1.4075883874676631,1.4223694081302471,NET1;BUB1;DLGAP5,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,1/42,0.3665264270907408,0.8403633384424212,0,0,2.2397050482132728,2.2479575854718035,DKK1,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Estrogen Response Late,3/200,0.3669744090644737,0.8403633384424212,0,0,1.4003717737899477,1.4038211183292757,PLK4;IGFBP4;KIF20A,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,mTORC1 Signaling,3/200,0.3669744090644737,0.8403633384424212,0,0,1.4003717737899477,1.4038211183292757,MAP2K3;CCNG1;BUB1,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Glycolysis,3/200,0.3669744090644737,0.8403633384424212,0,0,1.4003717737899477,1.4038211183292757,NANP;IGFBP3;KIF20A,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,KRAS Signaling Up,3/200,0.3669744090644737,0.8403633384424212,0,0,1.4003717737899477,1.4038211183292757,MYCN;ARG1;IGFBP3,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Apical Surface,1/44,0.380164367390619,0.8403633384424212,0,0,2.135316387236344,2.065174604941784,CRYBG1,0.07553290231493417,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,1/49,0.4129940998342215,0.8672876096518652,0,0,1.9124031007751936,1.691180081793189,HHEX,0.061836858035208796,Hallmarks,DENV_down
MSigDB_Hallmark_2020,DNA Repair,2/150,0.4833232954008285,0.8872602108098877,0,0,1.2399595857539782,0.9015367967628336,RFC3;ARL6IP1,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Cholesterol Homeostasis,1/74,0.5529225585533213,0.8872602108098877,0,0,1.2558776680471488,0.7441543952687698,MAL2,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,2/199,0.6358693798331969,0.8872602108098877,0,0,0.9292186536363204,0.4207150023190872,GUCY1B1;COCH,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,2/200,0.6385854884672146,0.8872602108098877,0,0,0.9244784291513264,0.4146283193368318,ABCA1;MAP2K3,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,heme Metabolism,2/200,0.6385854884672146,0.8872602108098877,0,0,0.9244784291513264,0.4146283193368318,MAP2K3;KAT2B,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Protein Secretion,1/96,0.648285040034943,0.8872602108098877,0,0,0.9639657282741738,0.4178066556350681,ABCA1,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Pperoxisome,1/104,0.6776896956661643,0.8872602108098877,0,0,0.8887333483856401,0.3457757261282594,ABCD3,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,1/105,0.6811888276786132,0.8872602108098877,0,0,0.8801431127012522,0.3379007867346517,MAP2K3,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Unfolded Protein Response,1/113,0.7078541959658927,0.8872602108098877,0,0,0.8169435215946844,0.2822679927156942,EDC4,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Spermatogenesis,1/135,0.7702780801341467,0.8872602108098877,0,0,0.6820548420687261,0.1780188280383583,BUB1,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Fatty Acid Metabolism,1/158,0.8213776657326382,0.8872602108098877,0,0,0.5814545993186194,0.1144141404318459,METAP1,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Apoptosis,1/161,0.827148075463822,0.8872602108098877,0,0,0.5704651162790698,0.108258048561036,LUM,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Hypoxia,1/200,0.8872602108098877,0.8872602108098877,0,0,0.4577538857076078,0.0547551369988808,IGFBP3,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Estrogen Response Early,1/200,0.8872602108098877,0.8872602108098877,0,0,0.4577538857076078,0.0547551369988808,IGFBP4,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Myogenesis,1/200,0.8872602108098877,0.8872602108098877,0,0,0.4577538857076078,0.0547551369988808,IGFBP3,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Interferon Gamma Response,1/200,0.8872602108098877,0.8872602108098877,0,0,0.4577538857076078,0.0547551369988808,PELI1,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Complement,1/200,0.8872602108098877,0.8872602108098877,0,0,0.4577538857076078,0.0547551369988808,CD46,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Inflammatory Response,1/200,0.8872602108098877,0.8872602108098877,0,0,0.4577538857076078,0.0547551369988808,ABCA1,0.05194899398333014,Hallmarks,DENV_down
MSigDB_Hallmark_2020,Oxidative Phosphorylation,1/200,0.8872602108098877,0.8872602108098877,0,0,0.4577538857076078,0.0547551369988808,RHOT1,0.05194899398333014,Hallmarks,DENV_down
