Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
GO_Cellular_Component_2023,Cornified Envelope (GO:0001533),3/41,0.0199277324542728,0.7941127600853173,0,0,5.568760611205433,21.80527809792456,CSTA;PI3;CNFN,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Euchromatin (GO:0000791),3/44,0.0240099064968263,0.7941127600853173,0,0,5.160503540519276,19.245007865593628,H1-1;H1-0;H1-3,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber (GO:0099513),8/265,0.034831840845402,0.7941127600853173,0,0,2.210911982731688,7.422525319307916,AKNA;KIF5C;KIF16B;MX1;CDK2AP2;MYO9B;EPPK1;SLC1A4,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Endoplasmic Reticulum Lumen (GO:0005788),8/284,0.0488636483513363,0.7941127600853173,0,0,2.0567015762191896,6.208609362748581,DNAJC3;F7;ERO1B;SELENOM;COL16A1;IL23A;STC2;MANF,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,cis-Golgi Network (GO:0005801),3/60,0.0527327465735104,0.7941127600853173,0,0,3.708922844746274,10.913574602403282,GOLGA2;GOLGB1;RETREG1,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Platelet Alpha Granule Lumen (GO:0031093),3/66,0.0663822971426571,0.7941127600853173,0,0,3.3546680320873867,9.098949525113431,VEGFB;GTPBP2;VEGFA,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Alveolar Lamellar Body (GO:0097208),1/5,0.068546126749562,0.7941127600853173,0,0,17.53914590747331,47.009267354741326,LAMP3,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Chromocenter (GO:0010369),1/5,0.068546126749562,0.7941127600853173,0,0,17.53914590747331,47.009267354741326,MBD6,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Chloride Channel Complex (GO:0034707),1/6,0.0816828855047062,0.7941127600853173,0,0,14.030604982206404,35.1454136531076,BEST1,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Hemidesmosome (GO:0030056),1/6,0.0816828855047062,0.7941127600853173,0,0,14.030604982206404,35.1454136531076,EPPK1,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Motile Cilium (GO:0031514),3/73,0.0841171151602427,0.7941127600853173,0,0,3.018125960061444,7.471507303066445,CFAP251;DNAH17;WDR19,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,MICOS Complex (GO:0061617),1/7,0.094635019648686,0.7941127600853173,0,0,11.691577698695136,27.565556419967027,CHCHD10,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle (GO:0061200),1/7,0.094635019648686,0.7941127600853173,0,0,11.691577698695136,27.565556419967027,GAD1,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane (GO:0061202),1/7,0.094635019648686,0.7941127600853173,0,0,11.691577698695136,27.565556419967027,GAD1,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,BLOC-1 Complex (GO:0031083),1/8,0.1074051142315033,0.7941127600853173,0,0,10.020843924758516,22.3579806651702,BLOC1S3,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Outer Dynein Arm (GO:0036157),1/8,0.1074051142315033,0.7941127600853173,0,0,10.020843924758516,22.3579806651702,DNAH17,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Vesicle (GO:0031982),6/235,0.1160800255521978,0.7941127600853173,0,0,1.8501044237706477,3.984154457045388,DNAJC3;GPRC5A;GAD1;LAMP3;RAB39B;TSPAN1,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Late Endosome Membrane (GO:0031902),3/85,0.1185688320910107,0.7941127600853173,0,0,2.5748754261736164,5.490308061709504,HLA-DMB;CHMP4C;MR1,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Amphisome Membrane (GO:1904930),1/9,0.119995718451996,0.7941127600853173,0,0,8.767793594306049,18.590345887593173,CHMP4C,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Platelet Alpha Granule (GO:0031091),3/89,0.1310525550875349,0.7941127600853173,0,0,2.4546136534133534,4.988159955678904,VEGFB;GTPBP2;VEGFA,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Microfibril (GO:0001527),1/11,0.1446484755374902,0.7941127600853173,0,0,7.013523131672597,13.560287788646123,THSD4,0.10011782552524398,GO_CC,DENV_up
GO_Cellular_Component_2023,Amphisome (GO:0044753),1/11,0.1446484755374902,0.7941127600853173,0,0,7.013523131672597,13.560287788646123,CHMP4C,0.10011782552524398,GO_CC,DENV_up
