Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
GO_Molecular_Function_2023,Chemokine Activity (GO:0008009),5/46,0.00045948737506635554,0.0830279020305791,0,0,8.662939156467377,66.57814472645913,CXCL10;CCL4;CXCL1;CXCL3;CXCL5,1.0807759357977418,GO_MF,DENV_up
GO_Molecular_Function_2023,Chemokine Receptor Binding (GO:0042379),5/50,0.000678409449043126,0.0830279020305791,0,0,7.891295627757722,57.57299539988615,CXCL10;CCL4;CXCL1;CXCL3;CXCL5,1.0807759357977418,GO_MF,DENV_up
GO_Molecular_Function_2023,Nucleosomal DNA Binding (GO:0031492),4/34,0.0012859424108675,0.0830279020305791,0,0,9.442685851318943,62.85300456755389,H1-4;H1-1;H1-0;H1-3,1.0807759357977418,GO_MF,DENV_up
GO_Molecular_Function_2023,CXCR Chemokine Receptor Binding (GO:0045236),3/16,0.0013555575841727,0.0830279020305791,0,0,16.29859387923904,107.62845587329244,CXCL10;CXCL3;CXCL5,1.0807759357977418,GO_MF,DENV_up
GO_Molecular_Function_2023,Nucleosome Binding (GO:0031491),5/62,0.0018064705147989,0.0885170552251464,0,0,6.226170118436887,39.32685846258095,H1-4;H1-1;H1-0;H1-3;MLLT6,1.0529730425615698,GO_MF,DENV_up
GO_Molecular_Function_2023,Natural Killer Cell Lectin-Like Receptor Binding (GO:0046703),2/7,0.0039701988198298,0.1621164518097171,0,0,28.161428571428573,155.7028236805419,ULBP2;ULBP1,0.7901729100890155,GO_MF,DENV_up
GO_Molecular_Function_2023,Chromatin DNA Binding (GO:0031490),5/83,0.0063850045453081,0.2234751590857861,0,0,4.545033786911043,22.96970574020079,H1-4;H1-1;PPARGC1A;H1-0;H1-3,0.6507707448879478,GO_MF,DENV_up
GO_Molecular_Function_2023,Vascular Endothelial Growth Factor Receptor Binding (GO:0005172),2/12,0.0119107509059303,0.3270076987132792,0,0,14.077142857142857,62.366160957807686,VEGFB;VEGFA,0.4854420226628434,GO_MF,DENV_up
GO_Molecular_Function_2023,Chemoattractant Activity (GO:0042056),3/35,0.0130124602605326,0.3270076987132792,0,0,6.61491935483871,28.720973702803565,CXCL10;VEGFB;VEGFA,0.4854420226628434,GO_MF,DENV_up
GO_Molecular_Function_2023,Cytokine Activity (GO:0005125),7/178,0.0133472530087052,0.3270076987132792,0,0,2.909707602339181,12.559591907592631,CXCL10;CCL4;CXCL1;CXCL3;CXCL5;INHBE;VEGFA,0.4854420226628434,GO_MF,DENV_up
GO_Molecular_Function_2023,Pentosyltransferase Activity (GO:0016763),3/39,0.0174382297184628,0.3883969346384901,0,0,5.878733572281959,23.80352351073873,SIRT4;UPP1;PARP14,0.410724206351165,GO_MF,DENV_up
GO_Molecular_Function_2023,Endopeptidase Inhibitor Activity (GO:0004866),5/112,0.021286618478954,0.4346017939453124,0,0,3.30830999696346,12.735923726809531,PRNP;CSTA;SPINK1;PI3;BIRC7,0.3619084853350018,GO_MF,DENV_up
GO_Molecular_Function_2023,Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027),2/19,0.0289276228276595,0.4686759981778075,0,0,8.277731092436975,29.32765635369936,BIRC7;BIRC3,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,"Steroid Dehydrogenase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0033764)",2/22,0.0380160348090639,0.4686759981778075,0,0,7.035,23.00267183058537,AKR1C2;HSD17B14,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,Cysteine-Type Endopeptidase Inhibitor Activity (GO:0004869),2/22,0.0380160348090639,0.4686759981778075,0,0,7.035,23.00267183058537,CSTA;BIRC7,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,Mitogen-Activated Protein Kinase Binding (GO:0051019),2/23,0.0412570104577177,0.4686759981778075,0,0,6.699659863945579,21.3580750106427,DUSP1;DUSP16,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,"Phosphatidylinositol-3,5-Bisphosphate Binding (GO:0080025)",2/24,0.0445978129769152,0.4686759981778075,0,0,6.394805194805195,19.88829471815396,KIF16B;PLEKHA4,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,Adenylyltransferase Activity (GO:0070566),2/25,0.0480350048595557,0.4686759981778075,0,0,6.116459627329193,18.568502674830263,FICD;OAS1,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,"Phosphatidylinositol-3,4-Bisphosphate Binding (GO:0043325)",2/25,0.0480350048595557,0.4686759981778075,0,0,6.116459627329193,18.568502674830263,KIF16B;PLEKHA4,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,NAD+ ADP-ribosyltransferase Activity (GO:0003950),2/26,0.0515652250680576,0.4686759981778075,0,0,5.861309523809524,17.378242128880096,SIRT4;PARP14,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,Zinc Ion Binding (GO:0008270),9/341,0.0534062022323485,0.4686759981778075,0,0,1.924996690056931,5.639909959127861,KLF7;MT2A;MT1L;MT1M;MT1F;MT1X;ALPI;SLC39A4;MT1E,0.32912728698724125,GO_MF,DENV_up
GO_Molecular_Function_2023,Transition Metal Ion Binding (GO:0046914),11/456,0.0594411212014738,0.4686759981778075,0,0,1.7579750404245615,4.962357475024156,PRNP;KLF7;MT2A;B4GALT1;MT1L;MT1M;MT1F;MT1X;ALPI;SLC39A4;MT1E,0.32912728698724125,GO_MF,DENV_up
