Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,15/200,1.695263301113956e-07,6.781053204455823e-06,0,0,5.931673246279988,92.4763138035406,B4GALT1;CEBPD;DUSP1;G0S2;TNFAIP3;CXCL1;CXCL3;VEGFA;CXCL10;KLF6;IL23A;CCL4;FOSB;HES1;BIRC3,5.168702848115111,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Interferon Alpha Response,9/97,9.37531477681534e-06,0.0001875062955363068,0,0,7.353896103896104,85.1392203887412,IFITM3;CXCL10;IFITM1;OAS1;LAMP3;MX1;ISG15;TMEM140;PARP14,3.7269841462254405,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Hypoxia,11/200,0.00013307327932194656,0.0017743103909592,0,0,4.194127179367031,37.43095192100519,AKAP12;KLF7;MT2A;KLF6;DUSP1;STC2;TNFAIP3;PPARGC1A;MT1E;VEGFA;TMEM45A,2.750970404070619,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Estrogen Response Early,9/200,0.0021967540264084,0.0175740322112675,0,0,3.3704044646453024,20.629485535714934,KDM4B;B4GALT1;STC2;CLDN7;SLC1A4;HES1;NAV2;RETREG1;THSD4,1.755128581920025,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Interferon Gamma Response,9/200,0.0021967540264084,0.0175740322112675,0,0,3.3704044646453024,20.629485535714934,IFITM3;CXCL10;MT2A;APOL6;MX1;TNFAIP3;ISG15;UPP1;PARP14,1.755128581920025,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Unfolded Protein Response,6/113,0.0053521919547284,0.0318692087528871,0,0,3.984355952864689,20.83917409996874,TSPYL2;DNAJC3;STC2;EIF4EBP1;SLC1A4;VEGFA,1.4966287190339793,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,8/200,0.0076378974861883,0.0318692087528871,0,0,2.9692822384428226,14.474160923997603,IL32;COL16A1;NNMT;TNFAIP3;CXCL1;EMP3;FMOD;VEGFA,1.4966287190339793,Hallmarks,DENV_up
MSigDB_Hallmark_2020,KRAS Signaling Up,8/200,0.0076378974861883,0.0318692087528871,0,0,2.9692822384428226,14.474160923997603,AKAP12;CXCL10;KIF5C;G0S2;TNFAIP3;PRDM1;TSPAN1;BIRC3,1.4966287190339793,Hallmarks,DENV_up
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,5/87,0.0077663305956481,0.0318692087528871,0,0,4.322444307475566,20.99825065089503,CXCL10;CXCL1;LTB;CXCL3;INHBE,1.4966287190339793,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Apoptosis,7/161,0.0079673021882217,0.0318692087528871,0,0,3.2337190082644627,15.626653936255382,IFITM3;DNAJC3;BIK;BMF;IGFBP6;H1-0;BIRC3,1.4966287190339793,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Androgen Response,5/100,0.0136673748901324,0.0496995450550272,0,0,3.7284818544556337,16.005416920659076,AKAP12;LMAN1;B4GALT1;HSD17B14;H1-0,1.3036475867394157,Hallmarks,DENV_up
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,7/199,0.0230916100055863,0.0769720333519545,0,0,2.5886742424242426,9.754864726763383,IFITM3;SOCS2;PRNP;CXCL10;KLF6;LTB;BATF,1.113667040634628,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Inflammatory Response,6/200,0.0645296929392971,0.1985529013516834,0,0,2.187808157776782,5.995972245839338,CXCL10;IFITM1;KLF6;LAMP3;EMP3;BEST1,0.7021237624312745,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Hedgehog Signaling,2/36,0.0912963957004948,0.2608468448585567,0,0,4.135294117647059,9.898421827648392,NRP2;VEGFA,0.5836144120326763,Hallmarks,DENV_up
MSigDB_Hallmark_2020,UV Response Dn,4/144,0.1464811651761921,0.3829558964676677,0,0,2.012127440904419,3.865011945305465,FZD2;DUSP1;ICA1;MT1E,0.4168512391478866,Hallmarks,DENV_up
MSigDB_Hallmark_2020,p53 Pathway,5/200,0.1531823585870671,0.3829558964676677,0,0,1.80718318985467,3.390503696588304,TSPYL2;GPX2;HSPA4L;SLC7A11;UPP1,0.4168512391478866,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Spermatogenesis,3/135,0.296930308165609,0.5942921663439853,0,0,1.5954708374063211,1.93731294147012,GAD1;HSPA4L;SEPTIN4,0.22599999435226106,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Estrogen Response Late,4/200,0.3120033873305923,0.5942921663439853,0,0,1.4331228894435473,1.669217323301339,HSPA4L;AGR2;SLC1A4;BATF,0.22599999435226106,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Apical Junction,4/200,0.3120033873305923,0.5942921663439853,0,0,1.4331228894435473,1.669217323301339,COL16A1;B4GALT1;CLDN7;FLNC,0.22599999435226106,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Xenobiotic Metabolism,4/200,0.3120033873305923,0.5942921663439853,0,0,1.4331228894435473,1.669217323301339,MT2A;GAD1;AKR1C2;UPP1,0.22599999435226106,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Glycolysis,4/200,0.3120033873305923,0.5942921663439853,0,0,1.4331228894435473,1.669217323301339,B4GALT1;BIK;STC2;VEGFA,0.22599999435226106,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Notch Signaling,1/32,0.3654031405756878,0.6643693465012505,0,0,2.260016071633567,2.2752803109826782,HES1,0.17759041377704127,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Protein Secretion,2/96,0.3932076930934026,0.6675033196902329,0,0,1.4911854103343465,1.3918982976226562,LMAN1;ICA1,0.17554657008388946,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Angiogenesis,1/36,0.4005019918141397,0.6675033196902329,0,0,2.001321809862735,1.8312825826570125,VEGFA,0.17554657008388946,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Apical Surface,1/44,0.4650016477167275,0.7415814044940409,0,0,1.6283207812629314,1.2468285559264372,B4GALT1,0.1298411688674418,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,1/49,0.5017523563861601,0.7415814044940409,0,0,1.4583333333333333,1.005737534348123,PRNP,0.1298411688674418,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Myogenesis,3/200,0.5376465182581796,0.7415814044940409,0,0,1.0654986081545768,0.6611993849465772,PRNP;STC2;NAV2,0.1298411688674418,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Complement,3/200,0.5376465182581796,0.7415814044940409,0,0,1.0654986081545768,0.6611993849465772,F7;TNFAIP3;CXCL1,0.1298411688674418,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Allograft Rejection,3/200,0.5376465182581796,0.7415814044940409,0,0,1.0654986081545768,0.6611993849465772,HLA-DMB;CCL4;LTB,0.1298411688674418,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Cholesterol Homeostasis,1/74,0.6510266122140144,0.8680354829520192,0,0,0.9576853702530104,0.411043118184946,ATF5,0.061462521672242434,Hallmarks,DENV_up
MSigDB_Hallmark_2020,G2-M Checkpoint,2/200,0.7760004087050795,0.9129416573000936,0,0,0.7041847041847041,0.1785828128040688,MT2A;ATF5,0.03955697572116354,Hallmarks,DENV_up
MSigDB_Hallmark_2020,Adipogenesis,2/200,0.7760004087050795,0.9129416573000936,0,0,0.7041847041847041,0.1785828128040688,VEGFB;CHCHD10,0.03955697572116354,Hallmarks,DENV_up
