Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
KEGG_2021_Human,Mineral absorption,6/60,0.0001969550538528105,0.0332706150772804,0,0,7.916264090177133,67.54580048429403,MT2A;MT1M;MT1F;MT1X;SLC39A4;MT1E,1.477939170210239,KEGG,DENV_up
KEGG_2021_Human,Rheumatoid arthritis,7/93,0.0003465689070550049,0.0332706150772804,0,0,5.810739957716702,46.29665742966955,HLA-DMB;IL23A;CXCL1;LTB;CXCL3;CXCL5;VEGFA,1.477939170210239,KEGG,DENV_up
KEGG_2021_Human,IL-17 signaling pathway,6/94,0.002151209209578,0.1376773894129954,0,0,4.849308300395257,29.78311885476152,CXCL10;TNFAIP3;FOSB;CXCL1;CXCL3;CXCL5,0.8611373775314517,KEGG,DENV_up
KEGG_2021_Human,NF-kappa B signaling pathway,6/104,0.0035684442352885,0.1712853232938508,0,0,4.35226264418811,24.52772263018181,CCL4;TNFAIP3;CXCL1;LTB;CXCL3;BIRC3,0.7662798482753899,KEGG,DENV_up
KEGG_2021_Human,TNF signaling pathway,6/112,0.0051271233929159,0.1968815382879706,0,0,4.022149302707137,21.20964001281123,CXCL10;TNFAIP3;CXCL1;CXCL3;CXCL5;BIRC3,0.7057950060333762,KEGG,DENV_up
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,5/100,0.0136673748901324,0.4373559964842394,0,0,3.7284818544556337,16.005416920659076,CXCL10;CCL4;CXCL1;CXCL3;CXCL5,0.3591649145892471,KEGG,DENV_up
KEGG_2021_Human,Type I diabetes mellitus,3/43,0.0226027566129984,0.5903565184454288,0,0,5.289784946236559,20.046610232673032,HLA-DMB;GAD1;ICA1,0.2288856371176409,KEGG,DENV_up
KEGG_2021_Human,Cytokine-cytokine receptor interaction,9/295,0.0245981882685595,0.5903565184454288,0,0,2.2399139322216244,8.299065881262752,IL32;CXCL10;IL23A;CCL4;CXCL1;LTB;CXCL3;CXCL5;INHBE,0.2288856371176409,KEGG,DENV_up
KEGG_2021_Human,Protein processing in endoplasmic reticulum,6/171,0.0345626767159808,0.7373371032742583,0,0,2.576152832674572,8.668705043355756,DNAJC3;ERO1B;LMAN1;SSR4;HSPA4L;RRBP1,0.13233391157114932,KEGG,DENV_up
KEGG_2021_Human,TGF-beta signaling pathway,4/94,0.0440420448028651,0.8456072602150116,0,0,3.13796962430056,9.79865701558104,FMOD;HAMP;THSD4;INHBE,0.07283129691895898,KEGG,DENV_up
KEGG_2021_Human,VEGF signaling pathway,3/59,0.0506044478521145,0.8817348647978415,0,0,3.775345622119816,11.26455839955033,SHC2;PLA2G4C;VEGFA,0.05466198637121206,KEGG,DENV_up
KEGG_2021_Human,Chemokine signaling pathway,6/192,0.055108429049865,0.8817348647978415,0,0,2.2828424497428705,6.616710627482064,CXCL10;SHC2;CCL4;CXCL1;CXCL3;CXCL5,0.05466198637121206,KEGG,DENV_up
KEGG_2021_Human,Focal adhesion,6/201,0.0657699331501168,0.919187411281334,0,0,2.1764771460423638,5.9234838511651455,SHC2;VEGFB;FLNC;PPP1R12B;VEGFA;BIRC3,0.03659593215320115,KEGG,DENV_up
KEGG_2021_Human,Epstein-Barr virus infection,6/202,0.0670240820725972,0.919187411281334,0,0,2.165261756876664,5.852060074568913,CXCL10;HLA-DMB;OAS1;TNFAIP3;ISG15;HES1,0.03659593215320115,KEGG,DENV_up
KEGG_2021_Human,Necroptosis,5/159,0.0749208774615313,0.9444973141418485,0,0,2.293122040414459,5.942219173106992,PLA2G4C;CHMP4C;CHMP4B;TNFAIP3;BIRC3,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,2/35,0.0870049346019447,0.9444973141418485,0,0,4.260822510822511,10.404035683576112,NNMT;SIRT4,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Influenza A,5/172,0.0967524681989339,0.9444973141418485,0,0,2.113210402300093,4.935613024390228,DNAJC3;CXCL10;HLA-DMB;OAS1;MX1,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,NOD-like receptor signaling pathway,5/181,0.1135538404179722,0.9444973141418485,0,0,2.004225467673121,4.360148792004005,OAS1;TNFAIP3;CXCL1;CXCL3;BIRC3,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Ferroptosis,2/41,0.1136141571970723,0.9444973141418485,0,0,3.6042124542124543,7.838971631400902,PRNP;SLC7A11,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,4/131,0.1143953276273467,0.9444973141418485,0,0,2.219566079419929,4.812230215042328,SHC2;SH3BP2;ULBP2;ULBP1,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Insulin signaling pathway,4/137,0.1287904008110892,0.9444973141418485,0,0,2.1187861740682643,4.3425984514251175,SOCS2;SHC2;EIF4EBP1;PPARGC1A,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Glycosphingolipid biosynthesis,2/45,0.1323574384686196,0.9444973141418485,0,0,3.2682724252491693,6.609261130256657,B4GALT1;FUT1,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Other types of O-glycan biosynthesis,2/47,0.1419764673110063,0.9444973141418485,0,0,3.1226984126984125,6.095800704947889,GALNT6;B4GALT1,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Taurine and hypotaurine metabolism,1/11,0.1446484755374902,0.9444973141418485,0,0,7.013523131672597,13.560287788646123,GAD1,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,3/100,0.1675283692517959,0.9444973141418485,0,0,2.175036027047999,3.885924963141723,VEGFB;PLCD1;VEGFA,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Hepatitis C,4/157,0.1816092700907523,0.9444973141418485,0,0,1.839939812855598,3.138749218831816,CXCL10;OAS1;CLDN7;MX1,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Thiamine metabolism,1/15,0.191908388857735,0.9444973141418485,0,0,5.008642602948653,8.267952476807794,ALPI,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Legionellosis,2/57,0.1919181386199332,0.9444973141418485,0,0,2.553636363636364,4.215252711879859,CXCL1;CXCL3,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Notch signaling pathway,2/59,0.2021776083109939,0.9444973141418485,0,0,2.463784461152882,3.938627320915977,HES1;DTX3,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Toxoplasmosis,3/112,0.2101871289288313,0.9444973141418485,0,0,1.934398737299004,3.0171920775159444,HLA-DMB;BIRC7;BIRC3,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Arachidonic acid metabolism,2/61,0.2124979074024578,0.9444973141418485,0,0,2.3800242130750604,3.686236570648816,GPX2;PLA2G4C,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Cytosolic DNA-sensing pathway,2/63,0.2228676358778781,0.9444973141418485,0,0,2.3017564402810304,3.4553443913020314,CXCL10;CCL4,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Inflammatory bowel disease,2/65,0.2332759801273845,0.9444973141418485,0,0,2.2284580498866213,3.243594369501835,HLA-DMB;IL23A,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,MAPK signaling pathway,6/294,0.2359492920021343,0.9444973141418485,0,0,1.4666364734299515,2.1180259935686268,DUSP1;PLA2G4C;VEGFB;FLNC;DUSP16;VEGFA,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,2/70,0.2593998376591259,0.9444973141418485,0,0,2.064075630252101,2.78523193667202,CXCL1;CXCL3,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Prolactin signaling pathway,2/70,0.2593998376591259,0.9444973141418485,0,0,2.064075630252101,2.78523193667202,SOCS2;SHC2,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,RIG-I-like receptor signaling pathway,2/70,0.2593998376591259,0.9444973141418485,0,0,2.064075630252101,2.78523193667202,CXCL10;ISG15,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Relaxin signaling pathway,3/129,0.2739213444878288,0.9444973141418485,0,0,1.671957671957672,2.165041861157857,SHC2;VEGFB;VEGFA,0.024799272739535548,KEGG,DENV_up
KEGG_2021_Human,Inositol phosphate metabolism,2/73,0.2750984679042501,0.9444973141418485,0,0,1.9765593561368209,2.550999251945538,PIK3C2G;PLCD1,0.024799272739535548,KEGG,DENV_up
