Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
KEGG_2021_Human,Herpes simplex virus 1 infection,9/498,2.7930800316466438e-05,0.0019321980149934,0,0,6.507640825432237,68.23769342483558,ZNF671;ZNF181;TAP1;ZNF425;ZNF555;ZNF610;ZNF563;BIRC3;ZNF420,2.7139483683903673,KEGG,ZIKV_up
KEGG_2021_Human,TNF signaling pathway,5/112,2.9499206335777223e-05,0.0019321980149934,0,0,15.704894661808966,163.82006795980018,CXCL6;IL15;CXCL1;FOS;BIRC3,2.7139483683903673,KEGG,ZIKV_up
KEGG_2021_Human,Rheumatoid arthritis,4/93,0.00022487082783928275,0.0076734713894854,0,0,14.866666666666667,124.8797683640956,CXCL6;IL15;CXCL1;FOS,2.115008121809163,KEGG,ZIKV_up
KEGG_2021_Human,IL-17 signaling pathway,4/94,0.00023430446990795357,0.0076734713894854,0,0,14.70074074074074,122.88186205305892,CXCL6;TRAF3IP2;CXCL1;FOS,2.115008121809163,KEGG,ZIKV_up
KEGG_2021_Human,Cytokine-cytokine receptor interaction,5/295,0.0025290498907375,0.0658181745803701,0,0,5.741087083576856,34.331193156019786,CXCL6;IL15;CCL4;CXCL1;INHBE,1.1816541667190346,KEGG,ZIKV_up
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,3/100,0.004051724989556,0.0658181745803701,0,0,10.058644583403751,55.40917594097984,CXCL6;CCL4;CXCL1,1.1816541667190346,KEGG,ZIKV_up
KEGG_2021_Human,Longevity regulating pathway,3/102,0.0042828592511413,0.0658181745803701,0,0,9.85444610034774,53.73761944749817,SESN1;IRS2;SIRT1,1.1816541667190346,KEGG,ZIKV_up
KEGG_2021_Human,Circadian rhythm,2/31,0.0044152146158001,0.0658181745803701,0,0,22.14349276974416,120.07749245655845,BHLHE40;BHLHE41,1.1816541667190346,KEGG,ZIKV_up
KEGG_2021_Human,NF-kappa B signaling pathway,3/104,0.0045218593223155,0.0658181745803701,0,0,9.65833468592761,52.14372651615839,CCL4;CXCL1;BIRC3,1.1816541667190346,KEGG,ZIKV_up
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,2/35,0.0056033355531223,0.0678427858865309,0,0,19.455522971652005,100.86508146506247,SIRT4;SIRT1,1.1684963265782033,KEGG,ZIKV_up
KEGG_2021_Human,Serotonergic synapse,3/113,0.0056967224790216,0.0678427858865309,0,0,8.86408345752608,45.80838021481263,DUSP1;PLA2G4C;RAPGEF3,1.1684963265782033,KEGG,ZIKV_up
KEGG_2021_Human,Apoptosis,3/142,0.0106468909590826,0.1162285596366523,0,0,7.004481660573181,31.81776939369303,PMAIP1;FOS;BIRC3,0.9346871441607285,KEGG,ZIKV_up
KEGG_2021_Human,Ovarian steroidogenesis,2/51,0.0116197041701198,0.1170908650989003,0,0,13.09216589861751,58.32629278722786,CYP11A1;PLA2G4C,0.9314769853024386,KEGG,ZIKV_up
KEGG_2021_Human,Amphetamine addiction,2/69,0.0206086640546025,0.1796286841461113,0,0,9.566201251805488,37.13641136404177,FOS;SIRT1,0.7456243114789083,KEGG,ZIKV_up
KEGG_2021_Human,p53 signaling pathway,2/73,0.0228985995281463,0.1796286841461113,0,0,9.025442980463426,34.086205719817166,SESN1;PMAIP1,0.7456243114789083,KEGG,ZIKV_up
KEGG_2021_Human,Chemokine signaling pathway,3/192,0.0236554008074102,0.1796286841461113,0,0,5.138433515482696,19.239136891827137,CXCL6;CCL4;CXCL1,0.7456243114789083,KEGG,ZIKV_up
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,3/193,0.0239752113740225,0.1796286841461113,0,0,5.111130284728214,19.068271834300443,CD200R1;CXCL1;FOS,0.7456243114789083,KEGG,ZIKV_up
KEGG_2021_Human,Pertussis,2/76,0.0246818039284733,0.1796286841461113,0,0,8.658238884045335,32.05010754891044,CXCL6;FOS,0.7456243114789083,KEGG,ZIKV_up
KEGG_2021_Human,Colorectal cancer,2/86,0.0310166267385094,0.2138514790918286,0,0,7.623655913978495,26.478724700644403,PMAIP1;FOS,0.669887741623219,KEGG,ZIKV_up
KEGG_2021_Human,Circadian entrainment,2/97,0.0386399926854394,0.2455640911681439,0,0,6.737181663837012,21.919201308247896,RASD1;FOS,0.6098351397609185,KEGG,ZIKV_up
KEGG_2021_Human,Choline metabolism in cancer,2/98,0.0393652359887864,0.2455640911681439,0,0,6.666666666666667,21.56581458316773,PLA2G4C;FOS,0.6098351397609185,KEGG,ZIKV_up
KEGG_2021_Human,Toll-like receptor signaling pathway,2/104,0.0438243965341731,0.2609543611807585,0,0,6.272612270714737,19.618000201378344,CCL4;FOS,0.5834354406329663,KEGG,ZIKV_up
KEGG_2021_Human,Leukocyte transendothelial migration,2/114,0.05164911524009,0.2941753954979044,0,0,5.709677419354839,16.91938554145026,OCLN;RAPGEF3,0.531393653995788,KEGG,ZIKV_up
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",2/119,0.055735726530992,0.2964079555259921,0,0,5.464295561069755,15.776153105739349,IRS2;FOS,0.528110144165475,KEGG,ZIKV_up
KEGG_2021_Human,AMPK signaling pathway,2/120,0.0565664037263343,0.2964079555259921,0,0,5.41771459814106,15.561518585834932,IRS2;SIRT1,0.528110144165475,KEGG,ZIKV_up
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0659844326138027,0.3091438817552284,0,0,4.952988247061765,13.463888410474985,IRS2;SIRT1,0.5098393441715316,KEGG,ZIKV_up
KEGG_2021_Human,MAPK signaling pathway,3/294,0.0680833866758627,0.3091438817552284,0,0,3.320094642555349,8.921167514032968,DUSP1;PLA2G4C;FOS,0.5098393441715316,KEGG,ZIKV_up
KEGG_2021_Human,Fluid shear stress and atherosclerosis,2/139,0.0731396265810648,0.3091438817552284,0,0,4.661878973392983,12.19260820741078,DUSP1;FOS,0.5098393441715316,KEGG,ZIKV_up
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,2/143,0.0768076436153442,0.3091438817552284,0,0,4.528711965225349,11.622717884166905,HOXA1;INHBE,0.5098393441715316,KEGG,ZIKV_up
KEGG_2021_Human,alpha-Linolenic acid metabolism,1/25,0.0770462503405892,0.3091438817552284,0,0,13.16931216931217,33.75754823262795,PLA2G4C,0.5098393441715316,KEGG,ZIKV_up
KEGG_2021_Human,MicroRNAs in cancer,3/310,0.0770924508485206,0.3091438817552284,0,0,3.144497249959951,8.058560066260734,ZEB2;IRS2;SIRT1,0.5098393441715316,KEGG,ZIKV_up
KEGG_2021_Human,Phospholipase D signaling pathway,2/148,0.0814733383538998,0.3091438817552284,0,0,4.372514361467079,10.963989901915587,PLA2G4C;RAPGEF3,0.5098393441715316,KEGG,ZIKV_up
