Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
Reactome_Pathways_2024,Generic Transcription Pathway,12/1230,0.00046329057029970817,0.0991043588856525,0,0,3.546419098143236,27.226413080147434,ZNF671;OCLN;SESN1;PMAIP1;ZNF425;FOS;ZNF555;ZNF610;SIRT1;HDAC9;ZNF563;ZNF420,1.0039072436140695,Reactome,ZIKV_up
Reactome_Pathways_2024,Chemokine Receptors Bind Chemokines,3/57,0.0008083479151376057,0.0991043588856525,0,0,18.107468123861565,128.93455278422505,CXCL6;CCL4;CXCL1,1.0039072436140695,Reactome,ZIKV_up
Reactome_Pathways_2024,RNA Polymerase II Transcription,12/1360,0.0011246140118065,0.0991043588856525,0,0,3.18215019401963,21.607803476521195,ZNF671;OCLN;SESN1;PMAIP1;ZNF425;FOS;ZNF555;ZNF610;SIRT1;HDAC9;ZNF563;ZNF420,1.0039072436140695,Reactome,ZIKV_up
Reactome_Pathways_2024,Circadian Clock,3/70,0.0014682127242318,0.0991043588856525,0,0,14.584536334719845,95.14527753653832,BHLHE40;BHLHE41;SIRT1,1.0039072436140695,Reactome,ZIKV_up
Reactome_Pathways_2024,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,2/20,0.0018453715711163,0.0996500648402839,0,0,35.69534050179212,224.7048323380627,PMAIP1;ZNF420,1.0015224143767567,Reactome,ZIKV_up
Reactome_Pathways_2024,Unfolded Protein Response (UPR),3/95,0.0035077715858663,0.1392949450865217,0,0,10.607982893799004,59.96453327787399,TSPYL2;CREBRF;ASNS,0.8560646435248014,Reactome,ZIKV_up
Reactome_Pathways_2024,"BMAL1 CLOCK,NPAS2 Activates Circadian Gene Expression",2/28,0.003611350428169,0.1392949450865217,0,0,24.70223325062035,138.9172944423598,BHLHE40;BHLHE41,0.8560646435248014,Reactome,ZIKV_up
Reactome_Pathways_2024,Gene Expression (Transcription),12/1615,0.0047082113560519,0.1589021332667545,0,0,2.639234128317098,14.14219671877694,ZNF671;OCLN;SESN1;PMAIP1;ZNF425;FOS;ZNF555;ZNF610;SIRT1;HDAC9;ZNF563;ZNF420,0.7988702723347163,Reactome,ZIKV_up
Reactome_Pathways_2024,TP53 Regulates Transcription of Cell Death Genes,2/44,0.0087458447043581,0.2111044984021965,0,0,15.279569892473118,72.41257982262863,PMAIP1;ZNF420,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Interleukin-10 Signaling,2/46,0.0095295233597873,0.2111044984021965,0,0,14.583577712609973,67.86264560355225,CCL4;CXCL1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Cytokine Signaling in Immune System,7/776,0.0117535290557809,0.2111044984021965,0,0,3.060913010745329,13.601478375374969,IL15;CCL4;CXCL1;IRS2;FOS;IFIT3;BIRC3,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Signaling by Interleukins,5/452,0.0147612658914383,0.2111044984021965,0,0,3.6948773366700793,15.576674323127936,IL15;CCL4;CXCL1;IRS2;FOS,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Activation of NOXA and Translocation to Mitochondria,1/5,0.0158993733235186,0.2111044984021965,0,0,79.0952380952381,327.57099739379095,PMAIP1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Signaling by MST1,1/5,0.0158993733235186,0.2111044984021965,0,0,79.0952380952381,327.57099739379095,SPINT2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,IRS Activation,1/5,0.0158993733235186,0.2111044984021965,0,0,79.0952380952381,327.57099739379095,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,RUNX1 Regulates Expression of Components of Tight Junctions,1/5,0.0158993733235186,0.2111044984021965,0,0,79.0952380952381,327.57099739379095,OCLN,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Melanin Biosynthesis,1/5,0.0158993733235186,0.2111044984021965,0,0,79.0952380952381,327.57099739379095,TYRP1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,G Alpha (I) Signalling Events,4/316,0.0185013818297957,0.2111044984021965,0,0,4.193162393162393,16.7303399610621,CXCL6;CCL4;TAS2R14;CXCL1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,MET Receptor Activation,1/6,0.0190492685407353,0.2111044984021965,0,0,63.27301587301587,250.60711544601853,SPINT2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Epithelial-Mesenchymal Transition (EMT) During Gastrulation,1/7,0.0221892399395956,0.2111044984021965,0,0,52.72486772486773,200.7840887685652,OCLN,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Erythropoietin Activates Phospholipase C Gamma (PLCG),1/7,0.0221892399395956,0.2111044984021965,0,0,52.72486772486773,200.7840887685652,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Erythropoietin Activates STAT5,1/7,0.0221892399395956,0.2111044984021965,0,0,52.72486772486773,200.7840887685652,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,SOS-mediated Signalling,1/7,0.0221892399395956,0.2111044984021965,0,0,52.72486772486773,200.7840887685652,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Regulation of Endogenous Retroelements by KRAB-ZFP Proteins,2/76,0.0246818039284733,0.2111044984021965,0,0,8.658238884045335,32.05010754891044,ZNF425;ZNF610,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Sema4D Mediated Inhibition of Cell Attachment and Migration,1/8,0.0253193180336771,0.2111044984021965,0,0,45.19047619047619,166.12866893112047,RND1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Peptide Ligand-Binding Receptors,3/198,0.0256095617328216,0.2111044984021965,0,0,4.978814627994955,18.24630753151073,CXCL6;CCL4;CXCL1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Programmed Cell Death,3/202,0.0269593719711583,0.2111044984021965,0,0,4.877749402751462,17.625378162912295,OCLN;PMAIP1;BIRC3,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,BH3-only Proteins Associate With and Inactivate Anti-Apoptotic BCL-2 Members,1/9,0.0284395333057657,0.2111044984021965,0,0,39.53968253968254,140.7602846691535,PMAIP1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,PI3K AKT Activation,1/9,0.0284395333057657,0.2111044984021965,0,0,39.53968253968254,140.7602846691535,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,CREB3 Factors Activate Genes,1/9,0.0284395333057657,0.2111044984021965,0,0,39.53968253968254,140.7602846691535,CREBRF,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Hydrolysis of LPC,1/9,0.0284395333057657,0.2111044984021965,0,0,39.53968253968254,140.7602846691535,PLA2G4C,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Transcriptional Regulation by TP53,4/362,0.0286730090683697,0.2111044984021965,0,0,3.6458100558659217,12.949184690342442,SESN1;PMAIP1;FOS;ZNF420,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Developmental Biology,9/1385,0.0314743026611811,0.2111044984021965,0,0,2.207188160676533,7.633745336626542,ZEB2;OCLN;TYRP1;IRS2;HOXA1;ZNF467;SIRT1;PPL;RND1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Activation of the AP-1 Family of Transcription Factors,1/10,0.0315499162070124,0.2111044984021965,0,0,35.14462081128748,121.46628828977606,FOS,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Formation of the Posterior Neural Plate,1/10,0.0315499162070124,0.2111044984021965,0,0,35.14462081128748,121.46628828977606,ZEB2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Signal Attenuation,1/10,0.0315499162070124,0.2111044984021965,0,0,35.14462081128748,121.46628828977606,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Glycoprotein Hormones,1/10,0.0315499162070124,0.2111044984021965,0,0,35.14462081128748,121.46628828977606,INHBE,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Regulation of CDH11 Gene Transcription,1/10,0.0315499162070124,0.2111044984021965,0,0,35.14462081128748,121.46628828977606,ZEB2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Regulation of FOXO Transcriptional Activity by Acetylation,1/10,0.0315499162070124,0.2111044984021965,0,0,35.14462081128748,121.46628828977606,SIRT1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Formation of the Anterior Neural Plate,1/11,0.0346504971189346,0.2111044984021965,0,0,31.62857142857143,106.3492751339043,ZEB2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Apoptotic Cleavage of Cell Adhesion Proteins,1/11,0.0346504971189346,0.2111044984021965,0,0,31.62857142857143,106.3492751339043,OCLN,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Signaling by Leptin,1/11,0.0346504971189346,0.2111044984021965,0,0,31.62857142857143,106.3492751339043,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,MITF-M-dependent Gene Expression,2/94,0.0364958256985772,0.2111044984021965,0,0,6.957924263674614,23.03460758568978,TYRP1;SIRT1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Erythropoietin Activates Phosphoinositide-3-kinase (PI3K),1/12,0.0377413063595825,0.2111044984021965,0,0,28.751803751803752,94.2196644863216,IRS2,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Aspartate and Asparagine Metabolism,1/12,0.0377413063595825,0.2111044984021965,0,0,28.751803751803752,94.2196644863216,ASNS,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Butyrophilin (BTN) Family Interactions,1/12,0.0377413063595825,0.2111044984021965,0,0,28.751803751803752,94.2196644863216,PPL,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Peptide Hormone Biosynthesis,1/12,0.0377413063595825,0.2111044984021965,0,0,28.751803751803752,94.2196644863216,INHBE,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Pregnenolone Biosynthesis,1/12,0.0377413063595825,0.2111044984021965,0,0,28.751803751803752,94.2196644863216,CYP11A1,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Immune System,12/2150,0.0383115571174356,0.2111044984021965,0,0,1.9210620997337555,6.26651163096402,CD200R1;IL15;CCL4;TAP1;CXCL1;IRS2;PTX3;FOS;PPL;IFIT3;RAPGEF3;BIRC3,0.6755025122610963,Reactome,ZIKV_up
Reactome_Pathways_2024,Cellular Responses to Stress,6/787,0.0396328942626113,0.2140176290181012,0,0,2.537198110291845,8.190318671011259,TSPYL2;SESN1;CREBRF;ASNS;FOS;SIRT1,0.6695504515575981,Reactome,ZIKV_up
Reactome_Pathways_2024,Erythropoietin Activates RAS,1/14,0.0438937307216496,0.2236095716008565,0,0,24.326007326007325,76.04270426665417,IRS2,0.6505096104257492,Reactome,ZIKV_up
Reactome_Pathways_2024,SEMA3A-Plexin Repulsion Signaling by Inhibiting Integrin Adhesion,1/14,0.0438937307216496,0.2236095716008565,0,0,24.326007326007325,76.04270426665417,RND1,0.6505096104257492,Reactome,ZIKV_up
Reactome_Pathways_2024,Interleukin-15 Signaling,1/14,0.0438937307216496,0.2236095716008565,0,0,24.326007326007325,76.04270426665417,IL15,0.6505096104257492,Reactome,ZIKV_up
Reactome_Pathways_2024,Toll Like Receptor 3 (TLR3) Cascade,2/106,0.0453508764781676,0.2250334361257908,0,0,6.15136476426799,19.02817518064944,FOS;BIRC3,0.6477529483505124,Reactome,ZIKV_up
Reactome_Pathways_2024,Response of EIF2AK1 (HRI) to Heme Deficiency,1/15,0.0469554060796374,0.2250334361257908,0,0,22.58730158730159,69.0845479012675,ASNS,0.6477529483505124,Reactome,ZIKV_up
Reactome_Pathways_2024,Regulation of Pyruvate Dehydrogenase (PDH) Complex,1/15,0.0469554060796374,0.2250334361257908,0,0,22.58730158730159,69.0845479012675,SIRT4,0.6477529483505124,Reactome,ZIKV_up
