Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
GO_Cellular_Component_2023,Podosome (GO:0002102),1/12,0.0089653267055102,0.1926437779291105,0,0,129.7012987012987,611.4626002996463,LPXN,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),2/327,0.0243169097304828,0.1926437779291105,0,0,9.306508875739643,34.58841544059362,LPXN;RND1,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Tertiary Granule Lumen (GO:1904724),1/53,0.0390342369458394,0.1926437779291105,0,0,27.380494505494507,88.80359995755282,CXCL1,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Sperm Flagellum (GO:0036126),1/60,0.0440820585634856,0.1926437779291105,0,0,24.12348668280872,75.30634662640054,CFAP251,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Specific Granule Lumen (GO:0035580),1/61,0.0448011524424067,0.1926437779291105,0,0,23.72023809523809,73.66370739100482,CXCL1,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,9+2 Motile Cilium (GO:0097729),1/70,0.0512503168821025,0.1926437779291105,0,0,20.61697722567288,61.25372955093302,CFAP251,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Motile Cilium (GO:0031514),1/73,0.0533909917466193,0.1926437779291105,0,0,19.75496031746032,57.88427080418689,CFAP251,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),3/1195,0.0564821134617749,0.1926437779291105,0,0,3.941484899328859,11.327162541501536,TSPYL2;PLA2G4C;LPXN,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Lipid Droplet (GO:0005811),1/82,0.0597860000469653,0.1926437779291105,0,0,17.552028218694886,49.44377841836203,PLA2G4C,0.7152450134077479,GO_CC,shared_up
GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),7/5175,0.0667500479220831,0.1935751389740412,0,0,2.5086832430340555,6.790504463955459,TSPYL2;DUSP1;CREBRF;LPXN;TSPAN1;RND1;BIRC3,0.7131504202698422,GO_CC,shared_up
GO_Cellular_Component_2023,Mitochondrial Envelope (GO:0005740),1/146,0.1041120167975172,0.2379752639076738,0,0,9.773399014778326,22.11024208758202,PLA2G4C,0.6234681828876213,GO_CC,shared_up
GO_Cellular_Component_2023,Adherens Junction (GO:0005912),1/150,0.1068165780037886,0.2379752639076738,0,0,9.509108341323106,21.268472427628502,RND1,0.6234681828876213,GO_CC,shared_up
GO_Cellular_Component_2023,Specific Granule (GO:0042581),1/159,0.1128740036540262,0.2379752639076738,0,0,8.963381555153708,19.55346533005323,CXCL1,0.6234681828876213,GO_CC,shared_up
GO_Cellular_Component_2023,Tertiary Granule (GO:0070820),1/162,0.1148846101623253,0.2379752639076738,0,0,8.79503105590062,19.0309260537266,CXCL1,0.6234681828876213,GO_CC,shared_up
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),2/856,0.1331055017477385,0.2573373033789612,0,0,3.44640605296343,6.9500680044142,SIRT4;CXCL1,0.5894972542973617,GO_CC,shared_up
GO_Cellular_Component_2023,Vesicle (GO:0031982),1/235,0.1625181095242184,0.2945640735126459,0,0,6.028998778998779,10.954484832022487,TSPAN1,0.5308202229606757,GO_CC,shared_up
GO_Cellular_Component_2023,Cilium (GO:0005929),1/257,0.1763972930360838,0.3009130292968489,0,0,5.504743303571429,9.550820356073343,CFAP251,0.5215590072442419,GO_CC,shared_up
GO_Cellular_Component_2023,Cell-Cell Junction (GO:0005911),1/299,0.2022997273098865,0.3125688561115502,0,0,4.718839884947268,7.540729177101283,RND1,0.505054296607019,GO_CC,shared_up
