Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label
GO_Molecular_Function_2023,Cytokine Activity (GO:0005125),3/178,0.0002914982926057582,0.0088186289163695,0,0,28.3,230.3754823877465,CCL4;CXCL1;INHBE,2.0545989319137483,GO_MF,shared_up
GO_Molecular_Function_2023,Chemokine Activity (GO:0008009),2/46,0.0005331252155032125,0.0088186289163695,0,0,69.72377622377623,525.490965769041,CCL4;CXCL1,2.0545989319137483,GO_MF,shared_up
GO_Molecular_Function_2023,Chemokine Receptor Binding (GO:0042379),2/50,0.0006299020654549659,0.0088186289163695,0,0,63.90064102564103,470.9442866528224,CCL4;CXCL1,2.0545989319137483,GO_MF,shared_up
GO_Molecular_Function_2023,"Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)",2/64,0.00103037610361,0.0108189490879054,0,0,49.436724565756826,340.0174562475171,PLA2G4C;SIRT4,1.9658149229161113,GO_MF,shared_up
GO_Molecular_Function_2023,Receptor Ligand Activity (GO:0048018),3/319,0.0015862925847007,0.0133248577114866,0,0,15.560917721518988,100.31121054473635,CCL4;CXCL1;INHBE,1.8753374198583241,GO_MF,shared_up
GO_Molecular_Function_2023,rDNA Binding (GO:0000182),1/5,0.0037446970839379,0.0262128795875658,0,0,356.80357142857144,1993.609466758919,TSPYL2,1.581485267481617,GO_MF,shared_up
GO_Molecular_Function_2023,NAD-dependent Protein Deacetylase Activity (GO:0034979),1/6,0.0044920683932145,0.0269524103592872,0,0,285.42857142857144,1542.8675927558304,SIRT4,1.5694023897006777,GO_MF,shared_up
GO_Molecular_Function_2023,Calcium-Independent Phospholipase A2 Activity (GO:0047499),1/7,0.0052389168941443,0.0275043136942578,0,0,237.8452380952381,1249.0776854949,PLA2G4C,1.5605991873808354,GO_MF,shared_up
GO_Molecular_Function_2023,Phospholipase A1 Activity (GO:0008970),1/14,0.0104522409709381,0.0487771245310444,0,0,109.73626373626374,500.5003914455875,PLA2G4C,1.3117838054390307,GO_MF,shared_up
GO_Molecular_Function_2023,Calcium-Dependent Phospholipase A2 Activity (GO:0047498),1/16,0.0119370735063595,0.0495614866147126,0,0,95.0952380952381,421.0918230074216,PLA2G4C,1.3048556752805711,GO_MF,shared_up
GO_Molecular_Function_2023,Histone Deacetylase Activity (GO:0004407),1/18,0.01341982690512,0.0495614866147126,0,0,83.89915966386555,361.6911269349327,SIRT4,1.3048556752805711,GO_MF,shared_up
GO_Molecular_Function_2023,Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027),1/19,0.0141604247470607,0.0495614866147126,0,0,79.23412698412699,337.3237811891663,BIRC3,1.3048556752805711,GO_MF,shared_up
GO_Molecular_Function_2023,Lysophospholipase Activity (GO:0004622),1/21,0.0156400643604775,0.0505294387030813,0,0,71.30357142857143,296.4745049823623,PLA2G4C,1.2964555260148554,GO_MF,shared_up
GO_Molecular_Function_2023,Mitogen-Activated Protein Kinase Binding (GO:0051019),1/23,0.0171176314186799,0.0513528942560399,0,0,64.81493506493507,263.6442288281798,DUSP1,1.2894350744813967,GO_MF,shared_up
