Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
TargetScan_microRNA_2017,mmu-miR-3073-3p,5/1761,0.0074548447080068,0.7941220494982242,0,0,5.190489749430524,25.427644357678822,CD200R1;DUSP1;CREBRF;INHBE;RND1
TargetScan_microRNA_2017,hsa-miR-1204,3/826,0.0220237786206988,0.7941220494982242,0,0,5.820777642770352,22.20994871528485,TSPYL2;DUSP1;RND1
TargetScan_microRNA_2017,hsa-miR-4776-5p,4/1532,0.023629312280131,0.7941220494982242,0,0,4.392432175154688,16.450832557421588,CCL4;CREBRF;INHBE;RND1
TargetScan_microRNA_2017,mmu-miR-503,4/1691,0.0326380407071746,0.7941220494982242,0,0,3.944172010562052,13.4980482803484,TSPYL2;CD200R1;SIRT4;CREBRF
TargetScan_microRNA_2017,hsa-miR-3171,4/1754,0.036715312198377,0.7941220494982242,0,0,3.789090909090909,12.52128350176346,DUSP1;CREBRF;INHBE;BIRC3
TargetScan_microRNA_2017,mmu-miR-669j,4/1754,0.036715312198377,0.7941220494982242,0,0,3.789090909090909,12.52128350176346,CD200R1;PLA2G4C;CREBRF;BIRC3
TargetScan_microRNA_2017,mmu-miR-669i,4/1754,0.036715312198377,0.7941220494982242,0,0,3.789090909090909,12.52128350176346,CD200R1;PLA2G4C;CREBRF;BIRC3
TargetScan_microRNA_2017,hsa-miR-503,4/1875,0.0453764314414026,0.7941220494982242,0,0,3.520528642923084,10.888158755694835,TSPYL2;CD200R1;SIRT4;CREBRF
TargetScan_microRNA_2017,hsa-miR-509-3p,3/1388,0.0811172474682276,0.7941220494982242,0,0,3.357400722021661,8.43331947410566,PLA2G4C;CREBRF;LPXN
TargetScan_microRNA_2017,hsa-miR-4633-5p,3/1551,0.1051408532690377,0.7941220494982242,0,0,2.9775516795865635,6.706799286846998,CREBRF;CXCL1;TSPAN1
TargetScan_microRNA_2017,hsa-miR-323b-5p,3/1555,0.1057649028998909,0.7941220494982242,0,0,2.969233247422681,6.670491001610073,CREBRF;INHBE;RND1
TargetScan_microRNA_2017,mmu-miR-202-3p,3/1664,0.1233665767354427,0.7941220494982242,0,0,2.7579771222155327,5.771329293911208,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-miR-532-5p,3/1679,0.1258759278386817,0.7941220494982242,0,0,2.7310560859188544,5.660000554524118,CREBRF;LPXN;TSPAN1
TargetScan_microRNA_2017,mmu-miR-3080-3p,2/861,0.1343798144088394,0.7941220494982242,0,0,3.425449986567565,6.875169466411144,CREBRF;INHBE
TargetScan_microRNA_2017,hsa-miR-371b-3p,3/1813,0.1491618661082709,0.7941220494982242,0,0,2.5103591160220997,4.776518562940047,PLA2G4C;INHBE;RND1
TargetScan_microRNA_2017,hsa-miR-610,3/1817,0.149879886394405,0.7941220494982242,0,0,2.5042723263506064,4.752911195753852,PLA2G4C;CREBRF;LPXN
TargetScan_microRNA_2017,hsa-miR-2964a-5p,3/1825,0.1513197262086555,0.7941220494982242,0,0,2.492178924259056,4.706131712587551,LPXN;INHBE;RND1
TargetScan_microRNA_2017,mmu-miR-669e,3/1872,0.1598790345420444,0.7941220494982242,0,0,2.4232209737827715,4.442582569728828,CD200R1;DUSP1;BIRC3
TargetScan_microRNA_2017,hsa-miR-371-3p,2/962,0.1607311400533309,0.7941220494982242,0,0,3.0488782051282053,5.5734171887538295,INHBE;RND1
TargetScan_microRNA_2017,mmu-miR-10b,3/1900,0.1650572815871188,0.7941220494982242,0,0,2.3837638376383765,4.294261649111864,PLA2G4C;LPXN;INHBE
TargetScan_microRNA_2017,mmu-miR-10a,3/1900,0.1650572815871188,0.7941220494982242,0,0,2.3837638376383765,4.294261649111864,PLA2G4C;LPXN;INHBE
TargetScan_microRNA_2017,mmu-miR-1191,3/1908,0.1665473023315636,0.7941220494982242,0,0,2.372703412073491,4.2530137120405245,CREBRF;INHBE;BIRC3
TargetScan_microRNA_2017,hsa-miR-519e,3/1936,0.1717983220539246,0.7941220494982242,0,0,2.3347128815312983,4.112442734603493,TSPAN1;INHBE;RND1
TargetScan_microRNA_2017,hsa-miR-515-3p,3/1936,0.1717983220539246,0.7941220494982242,0,0,2.3347128815312983,4.112442734603493,TSPAN1;INHBE;RND1
TargetScan_microRNA_2017,mmu-miR-448-5p,3/1949,0.1742549469021533,0.7941220494982242,0,0,2.3174460431654675,4.04912478402883,CREBRF;LPXN;INHBE
TargetScan_microRNA_2017,hsa-miR-4764-3p,3/1960,0.1763426801464507,0.7941220494982242,0,0,2.3030148185998978,3.99648179409451,CREBRF;LPXN;BIRC3
TargetScan_microRNA_2017,mmu-let-7c,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-let-7b,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-miR-1961,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-let-7f,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-let-7d,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-let-7i,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-let-7e,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-let-7a,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-let-7g,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-miR-98,3/1963,0.1769134863069436,0.7941220494982242,0,0,2.299107142857143,3.98227070790364,CD200R1;DUSP1;PLA2G4C
TargetScan_microRNA_2017,mmu-miR-582-3p,3/1966,0.1774848987282025,0.7941220494982242,0,0,2.2952114111054507,3.96812158143812,TSPYL2;DUSP1;CREBRF
TargetScan_microRNA_2017,mmu-miR-376c,3/1975,0.1792027513870772,0.7941220494982242,0,0,2.2835953346855984,3.926042562573844,CD200R1;CREBRF;RND1
TargetScan_microRNA_2017,mmu-miR-100,1/262,0.1795215682664382,0.7941220494982242,0,0,5.39792008757526,9.270711406086017,CXCL1
TargetScan_microRNA_2017,mmu-miR-99a,1/262,0.1795215682664382,0.7941220494982242,0,0,5.39792008757526,9.270711406086017,CXCL1
TargetScan_microRNA_2017,mmu-miR-99b,1/262,0.1795215682664382,0.7941220494982242,0,0,5.39792008757526,9.270711406086017,CXCL1
TargetScan_microRNA_2017,mmu-miR-137,3/1996,0.1832318793754545,0.7941220494982242,0,0,2.256899147014551,3.829964234594196,CD200R1;DUSP1;CREBRF
TargetScan_microRNA_2017,mmu-miR-344,2/1050,0.1844921555147495,0.7941220494982242,0,0,2.7799471520845564,4.698523047538862,CD200R1;LPXN
TargetScan_microRNA_2017,mmu-miR-344c,2/1050,0.1844921555147495,0.7941220494982242,0,0,2.7799471520845564,4.698523047538862,CD200R1;LPXN
TargetScan_microRNA_2017,mmu-miR-718,1/279,0.1900615601153532,0.7941220494982242,0,0,5.063463514902364,8.407411574262907,INHBE
