Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,term_lower,in_55,in_36
miRTarBase_2017,hsa-miR-15a-5p,3/716,0.01506880370391,0.2157800910380185,0,0,6.757363253856942,28.3480081990052,TSPYL2;SIRT4;CREBRF,hsa-mir-15a-5p,True,False
miRTarBase_2017,hsa-miR-103a-3p,2/452,0.0440656196848278,0.2157800910380185,0,0,6.678632478632479,20.851194164228552,SIRT4;CREBRF,hsa-mir-103a-3p,True,False
miRTarBase_2017,hsa-miR-320a,2/584,0.0695456896979413,0.2157800910380185,0,0,5.128998149616707,13.672736253143745,TSPYL2;CREBRF,hsa-mir-320a,True,False
miRTarBase_2017,hsa-miR-320c,1/108,0.07803470234836,0.2157800910380185,0,0,13.269692923898532,33.84570065779822,CREBRF,hsa-mir-320c,True,False
miRTarBase_2017,hsa-miR-320b,1/145,0.1034346832328685,0.2196535986278111,0,0,9.841765873015872,22.32914550150232,CREBRF,hsa-mir-320b,True,False
miRTarBase_2017,hsa-miR-15b-5p,2/759,0.1090464626629512,0.2228637080674065,0,0,3.9077329539680927,8.659462856800205,SIRT4;CREBRF,hsa-mir-15b-5p,True,False
miRTarBase_2017,hsa-miR-146a-5p,1/201,0.1406384328545632,0.2444421069476768,0,0,7.066071428571429,13.860544185302931,DUSP1,hsa-mir-146a-5p,True,False
miRTarBase_2017,hsa-miR-107,1/300,0.202907081629096,0.2787840995492202,0,0,4.702818920210224,7.501029712097497,CREBRF,hsa-mir-107,True,False
miRTarBase_2017,hsa-miR-16-5p,2/1555,0.3274755344992437,0.3617719587204483,0,0,1.8259448214374163,2.0383787669798736,SIRT4;CREBRF,hsa-mir-16-5p,True,False
miRTarBase_2017,hsa-miR-181a-5p,1/552,0.3429326921616177,0.3725547851722557,0,0,2.5193155302048225,2.696224597264018,PLA2G4C,hsa-mir-181a-5p,True,False
