gsm,UMAP1,UMAP2,UMAP3,condition,timepoint,viral_molecules,log_viral
GSM2992421,9.154731,7.8648114,4.3311105,Control,4h,0,0.0
GSM2992422,9.100421,7.6273046,6.0981565,Control,4h,0,0.0
GSM2992423,9.641805,7.7270656,7.1818047,Control,4h,0,0.0
GSM2992424,8.875425,8.658712,4.178317,Control,4h,0,0.0
GSM2992425,8.977922,9.135579,3.385389,Control,4h,0,0.0
GSM2992426,8.870771,9.818292,3.4945755,Control,4h,0,0.0
GSM2992427,9.526541,10.010967,2.657387,Control,4h,0,0.0
GSM2992428,7.981671,9.019157,3.7447703,Control,4h,0,0.0
GSM2992429,9.076575,7.645706,5.8182044,Control,4h,0,0.0
GSM2992430,8.9966955,8.999347,3.6496668,Control,4h,0,0.0
GSM2992431,7.3448157,9.340125,3.5440867,Control,4h,0,0.0
GSM2992432,9.683585,8.949786,3.3244956,Control,4h,0,0.0
GSM2992433,7.8644285,10.394673,4.438829,Control,4h,0,0.0
GSM2992434,7.9531817,9.575828,3.7844956,Control,4h,0,0.0
GSM2992435,7.577011,9.12929,2.792324,Control,4h,0,0.0
GSM2992436,8.6401415,9.321425,5.799797,Control,4h,0,0.0
GSM2992437,8.0911045,8.41717,3.5983074,Control,4h,0,0.0
GSM2992438,8.344195,8.846095,4.181602,Control,4h,0,0.0
GSM2992439,9.076539,8.259146,4.645779,Control,4h,0,0.0
GSM2992440,8.793498,7.805888,6.572206,Control,4h,0,0.0
GSM2992441,8.248826,9.420303,4.0819373,Control,4h,0,0.0
GSM2992442,8.07632,8.7515545,3.6583536,Control,4h,0,0.0
GSM2992443,9.357783,7.283293,4.0510335,Control,4h,0,0.0
GSM2992444,7.8757157,9.365267,3.6871657,Control,4h,0,0.0
GSM2992445,9.027424,10.975266,2.428156,Control,4h,0,0.0
GSM2992446,7.4955616,9.592397,3.982857,Control,4h,0,0.0
GSM2992447,8.650707,9.110347,3.9638708,Control,4h,0,0.0
GSM2992448,8.384406,9.953349,3.8041136,Control,4h,0,0.0
GSM2992449,7.528055,9.518189,4.3669734,Control,4h,0,0.0
GSM2992450,8.588718,9.5128975,4.466132,Control,4h,0,0.0
GSM2992451,8.9114275,10.067141,3.122019,Control,4h,0,0.0
GSM2992452,9.320818,8.849585,4.9293494,Control,4h,0,0.0
GSM2992453,9.755419,8.082532,3.522848,Control,4h,0,0.0
GSM2992454,7.689419,9.982623,4.9740634,Control,4h,0,0.0
GSM2992455,8.9227495,7.305569,6.258044,Control,4h,0,0.0
GSM2992456,8.3616295,9.519215,3.384208,Control,4h,0,0.0
GSM2992457,10.237873,7.2338314,2.1023953,Control,4h,0,0.0
GSM2992458,7.5024357,9.987924,4.317504,Control,4h,0,0.0
