Database,Term,Gene Count,Odds Ratio,P.value,Adj. P-value,Genes
MSigDB Hallmarks,TNF-alpha Signaling via NF-kB,4,36.71,1.22e-05,0.000,DUSP1;CCL4;CXCL1;BIRC3
GO:BP,Cellular Response To Chemokine (GO:1990869),3,88.97,1.08e-05,0.002,DUSP1;CCL4;CXCL1
GO:BP,Negative Regulation Of Cell Adhesion (GO:0007162),3,72.16,1.97e-05,0.002,DUSP1;LPXN;RND1
GO:BP,Negative Regulation Of Cellular Process (GO:0048523),5,18.28,3.29e-05,0.002,TSPYL2;DUSP1;LPXN;CXCL1;RND1
KEGG,NF-kappa B signaling pathway,3,49.22,5.94e-05,0.003,CCL4;CXCL1;BIRC3
GO:BP,Regulation Of Cell Adhesion (GO:0030155),3,35.18,1.56e-04,0.008,DUSP1;LPXN;RND1
MSigDB Hallmarks,IL-6/JAK/STAT3 Signaling,2,36.02,1.89e-03,0.010,CXCL1;INHBE
GO:BP,Cytokine-Mediated Signaling Pathway (GO:0019221),3,19.42,8.51e-04,0.025,CCL4;CXCL1;BIRC3
GO:BP,Chemokine-Mediated Signaling Pathway (GO:0070098),2,55.75,8.18e-04,0.025,CCL4;CXCL1
GO:BP,Inflammatory Response (GO:0006954),3,21.19,6.65e-04,0.025,PLA2G4C;CCL4;CXCL1
GO:BP,Neutrophil Chemotaxis (GO:0030593),2,45.06,1.23e-03,0.030,CCL4;CXCL1
GO:BP,Granulocyte Chemotaxis (GO:0071621),2,43.15,1.34e-03,0.030,CCL4;CXCL1
GO:BP,Neutrophil Migration (GO:1990266),2,40.84,1.49e-03,0.030,CCL4;CXCL1
Reactome,Interleukin-10 Signaling,2,69.72,5.33e-04,0.033,CCL4;CXCL1
Reactome,Chemokine Receptors Bind Chemokines,2,55.75,8.18e-04,0.033,CCL4;CXCL1
GO:BP,Negative Regulation Of Cell Cycle (GO:0045786),2,36.89,1.81e-03,0.034,TSPYL2;DUSP1
KEGG,Serotonergic synapse,2,27.55,3.17e-03,0.034,DUSP1;PLA2G4C
KEGG,Cytokine-cytokine receptor interaction,3,16.86,1.27e-03,0.034,CCL4;CXCL1;INHBE
KEGG,Viral protein interaction with cytokine and cytokine recepto,2,31.22,2.49e-03,0.034,CCL4;CXCL1
KEGG,TNF signaling pathway,2,27.8,3.11e-03,0.034,CXCL1;BIRC3
MSigDB Hallmarks,KRAS Signaling Up,2,15.37,9.59e-03,0.035,TSPAN1;BIRC3
GO:BP,Negative Regulation Of Meiotic Cell Cycle (GO:0051447),1,356.8,3.74e-03,0.040,DUSP1
GO:BP,Negative Regulation Of B Cell Receptor Signaling Pathway (GO,1,356.8,3.74e-03,0.040,LPXN
GO:BP,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),1,356.8,3.74e-03,0.040,DUSP1
GO:BP,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501),1,285.43,4.49e-03,0.040,CCL4
GO:BP,Regulation Of Mitotic Sister Chromatid Segregation (GO:00330,1,203.86,5.99e-03,0.040,DUSP1
GO:BP,Regulation Of Macrophage Migration (GO:1905521),1,203.86,5.99e-03,0.040,CD200R1
GO:BP,Regulation Of Mitotic Spindle Checkpoint (GO:1903504),1,356.8,3.74e-03,0.040,DUSP1
GO:BP,Transmembrane Receptor Protein Serine/Threonine Kinase Signa,2,23.87,4.16e-03,0.040,LPXN;INHBE
GO:BP,Regulation Of Pyruvate Dehydrogenase Activity (GO:1904182),1,285.43,4.49e-03,0.040,SIRT4
GO:BP,Negative Regulation Of p38MAPK Cascade (GO:1903753),1,285.43,4.49e-03,0.040,DUSP1
GO:BP,Cellular Response To Tumor Necrosis Factor (GO:0071356),2,26.12,3.50e-03,0.040,CCL4;BIRC3
GO:BP,Negative Regulation Of Programmed Necrotic Cell Death (GO:00,1,158.54,7.48e-03,0.040,BIRC3
GO:BP,Regulation Of Mitotic Sister Chromatid Separation (GO:001096,1,158.54,7.48e-03,0.040,DUSP1
GO:BP,Phosphatidylethanolamine Acyl-Chain Remodeling (GO:0036152),1,178.37,6.73e-03,0.040,PLA2G4C
GO:BP,Negative Regulation Of Necroptotic Process (GO:0060546),1,178.37,6.73e-03,0.040,BIRC3
GO:BP,Regulation Of Viral-Induced Cytoplasmic Pattern Recognition ,1,178.37,6.73e-03,0.040,BIRC3
GO:BP,Neuron Remodeling (GO:0016322),1,178.37,6.73e-03,0.040,RND1
GO:BP,Regulation Of Programmed Necrotic Cell Death (GO:0062098),1,158.54,7.48e-03,0.040,BIRC3
GO:BP,Regulation Of Pattern Recognition Receptor Signaling Pathway,1,203.86,5.99e-03,0.040,BIRC3
GO:BP,Ether Lipid Biosynthetic Process (GO:0008611),1,178.37,6.73e-03,0.040,PLA2G4C
GO:BP,Negative Regulation Of Leukocyte Migration (GO:0002686),1,178.37,6.73e-03,0.040,CD200R1
GO:BP,Negative Regulation Of Lymphocyte Migration (GO:2000402),1,158.54,7.48e-03,0.040,CD200R1
GO:BP,Tricarboxylic Acid Metabolic Process (GO:0072350),1,203.86,5.99e-03,0.040,SIRT4
GO:BP,Platelet Activating Factor Metabolic Process (GO:0046469),1,237.85,5.24e-03,0.040,PLA2G4C
GO:BP,Negative Regulation Of Macrophage Migration (GO:1905522),1,237.85,5.24e-03,0.040,CD200R1
GO:BP,Peptidyl-Lysine Deacetylation (GO:0034983),1,237.85,5.24e-03,0.040,SIRT4
GO:BP,Negative Regulation Of Fatty Acid Oxidation (GO:0046322),1,237.85,5.24e-03,0.040,SIRT4
GO:BP,Glutamine Metabolic Process (GO:0006541),1,118.89,9.71e-03,0.041,SIRT4
GO:BP,Negative Regulation Of Neuroinflammatory Response (GO:015007,1,118.89,9.71e-03,0.041,CD200R1
GO:BP,Response To Chemokine (GO:1990868),1,118.89,9.71e-03,0.041,DUSP1
GO:BP,Regulation Of Oxidoreductase Activity (GO:0051341),1,118.89,9.71e-03,0.041,SIRT4
GO:BP,Lipid Droplet Formation (GO:0140042),1,129.7,8.97e-03,0.041,PLA2G4C
GO:BP,Negative Regulation By Host Of Viral Transcription (GO:00439,1,129.7,8.97e-03,0.041,CCL4
GO:BP,Positive Regulation Of Calcium-Mediated Signaling (GO:005085,1,129.7,8.97e-03,0.041,CCL4
GO:BP,Phosphatidylcholine Acyl-Chain Remodeling (GO:0036151),1,129.7,8.97e-03,0.041,PLA2G4C
GO:BP,Negative Regulation Of Mononuclear Cell Migration (GO:007167,1,129.7,8.97e-03,0.041,DUSP1
GO:BP,Negative Regulation Of Leukocyte Chemotaxis (GO:0002689),1,142.68,8.22e-03,0.041,DUSP1
GO:BP,Endoderm Development (GO:0007492),1,109.74,1.05e-02,0.044,DUSP1
GO:BP,Negative Regulation Of DNA Replication (GO:0008156),1,101.89,1.12e-02,0.046,TSPYL2
GO:BP,Regulation Of B Cell Receptor Signaling Pathway (GO:0050855),1,95.1,1.19e-02,0.046,LPXN
GO:BP,Regulation Of RIG-I Signaling Pathway (GO:0039535),1,83.9,1.34e-02,0.046,BIRC3
GO:BP,Negative Regulation Of Peptide Hormone Secretion (GO:0090278,1,83.9,1.34e-02,0.046,SIRT4
GO:BP,Regulation Of Fatty Acid Oxidation (GO:0046320),1,95.1,1.19e-02,0.046,SIRT4
