test_id,gene_id,symbol,locus,sample_1,sample_2,status,value_1,value_2,log2FoldChange,test_stat,pvalue,padj,sig_cufflinks
XLOC_000015,XLOC_000015,MTCO1P12,chr1:521368-794826,Control,Dengue,OK,2.56539,1.56877,-0.709544,-0.186778,0.5326,0.999963,no
XLOC_000017,XLOC_000017,"MTATP6P1,MTATP8P1,MTCO3P12",chr1:521368-794826,Control,Dengue,OK,9.42803,5.75946,-0.711022,-0.211535,0.5237,0.999963,no
XLOC_000021,XLOC_000021,RP11-206L10.9,chr1:521368-794826,Control,Dengue,OK,2.29629,1.44922,-0.664029,-0.206939,0.3845,0.999963,no
XLOC_000023,XLOC_000023,LINC01128,chr1:521368-794826,Control,Dengue,OK,1.16421,1.75996,0.596187,0.145722,0.58285,0.999963,no
XLOC_000029,XLOC_000029,KLHL17,chr1:895966-901688,Control,Dengue,OK,1.16746,1.57189,0.429121,0.276735,0.36945,0.999963,no
XLOC_000031,XLOC_000031,ISG15,chr1:922751-949921,Control,Dengue,OK,115.138,970.931,3.07601,3.24015,5e-05,0.0138461,yes
XLOC_000032,XLOC_000032,AGRN,chr1:955502-991498,Control,Dengue,OK,0.749175,3.06428,2.03217,1.10432,0.0011,0.0999759,no
XLOC_000033,XLOC_000033,RP11-465B22.3,chr1:995113-1004735,Control,Dengue,OK,0.415256,0.796129,0.939002,0.463256,0.11805,0.978121,no
XLOC_000040,XLOC_000040,B3GALT6,chr1:1167644-1171486,Control,Dengue,OK,2.06047,2.85565,0.470849,0.424362,0.1816,0.999963,no
XLOC_000041,XLOC_000041,RP5-902P8.10,chr1:1209401-1215800,Control,Dengue,OK,0.257323,0.77171,1.58448,0.808145,0.01965,0.492444,no
XLOC_000042,XLOC_000042,SCNN1D,chr1:1215815-1227409,Control,Dengue,OK,0.361456,0.412882,0.191908,0.0989601,0.7081,0.999963,no
XLOC_000043,XLOC_000043,PUSL1,chr1:1227725-1260071,Control,Dengue,OK,2.22809,2.60491,0.225429,0.0669961,0.8469,0.999963,no
XLOC_000044,XLOC_000044,"CPTP,TAS1R3",chr1:1260135-1284730,Control,Dengue,OK,2.1208,3.20131,0.594053,0.403654,0.30385,0.999963,no
XLOC_000047,XLOC_000047,"RP4-758J18.13,RP4-758J18.2",chr1:1321071-1346263,Control,Dengue,OK,3.35314,5.46562,0.704873,0.358161,0.373,0.999963,no
XLOC_000051,XLOC_000051,"ATAD3A,ATAD3B,ATAD3C",chr1:1385068-1470067,Control,Dengue,OK,3.95801,5.29851,0.420811,0.441033,0.21485,0.999963,no
XLOC_000052,XLOC_000052,RP5-832C2.5,chr1:1510354-1512455,Control,Dengue,OK,0.271001,0.394781,0.542755,0.38361,0.34465,0.999963,no
XLOC_000054,XLOC_000054,MIB2,chr1:1548862-1566601,Control,Dengue,OK,4.7218,7.15868,0.600358,0.315712,0.2994,0.999963,no
XLOC_000057,XLOC_000057,"RP11-345P4.6,RP11-345P4.7",chr1:1567473-1678633,Control,Dengue,OK,0.426915,1.46097,1.77491,0.227113,0.4848,0.999963,no
XLOC_000059,XLOC_000059,NADK,chr1:1680749-1715663,Control,Dengue,OK,1.00773,3.53219,1.80945,1.53796,0.001,0.0979171,no
XLOC_000063,XLOC_000063,PRKCZ,chr1:1981890-2152177,Control,Dengue,OK,1.89909,3.34531,0.816832,0.530564,0.0826,0.879231,no
XLOC_000066,XLOC_000066,SKI,chr1:2159982-2241558,Control,Dengue,OK,2.81882,4.64042,0.719165,0.29246,0.25435,0.999963,no
XLOC_000069,XLOC_000069,RER1,chr1:2323213-2345236,Control,Dengue,OK,25.9887,30.0797,0.210908,0.268149,0.51965,0.999963,no
XLOC_000070,XLOC_000070,PLCH2,chr1:2346958-2458067,Control,Dengue,OK,1.09361,1.11536,0.0284181,0.00904653,0.97165,0.999963,no
XLOC_000071,XLOC_000071,TNFRSF14,chr1:2477678-2517679,Control,Dengue,OK,47.9675,66.6753,0.475096,0.543955,0.17905,0.999963,no
XLOC_000072,XLOC_000072,FAM213B,chr1:2517759-2706320,Control,Dengue,OK,1.56966,1.64852,0.0707169,0.0467426,0.8803,0.999963,no
